symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc,market_state,market_state_at_karachi
GLAXO,103177028726.44,323.08,324.5,325.0,321.0,323.98,0.9,0.28,65926.0,GlaxoSmithKline Pakistan Limited,PHARMA,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
GHNI,54880191072.0,1280.99,1281.0,1292.7,1275.0,1288.0,7.01,0.55,28155.0,Ghandhara Industries Limited,AUTO ASSEMBLER,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
HGFA,4085235000.0,14.28,13.71,14.41,13.71,14.41,0.13,0.91,2651.0,HBL Growth Fund,CLOSED-END MUTUAL FUND,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
ABL,196380161845.0,170.76,170.76,172.9,170.01,171.5,0.74,0.43,11538.0,Allied Bank Limited,COMMERCIAL BANKS,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
SAZEW,111951359908.48999,1862.06,1874.89,1874.89,1847.01,1852.09,-9.97,-0.53,28070.0,Sazgar Engineering Works Limited,AUTO ASSEMBLER,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
PGLC,901363624.1999999,19.82,20.25,20.93,17.86,18.22,-1.6,-8.07,316917.0,Pak-Gulf Leasing Company Limited,LEASING,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
TGL,30731843058.0,177.83,177.85,179.89,176.8,178.5,0.67,0.38,21374.0,Tariq Glass Industries Limited,GLASS & CERAMICS,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
NATF,86366868972.5,370.53,371.5,372.8,368.0,370.49,-0.04,-0.01,31487.0,National Foods Limited,FOOD & PERSONAL CARE,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
SRVI,87866625000.0,185.75,186.0,191.0,185.0,187.0,1.25,0.67,106963.0,Service Industries Limited,LEATHER & TANNERIES,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
INDU,148947000000.0,1908.79,1919.9,1919.9,1890.0,1895.0,-13.79,-0.72,70902.0,Indus Motor Company Limited,AUTO ASSEMBLER,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
LCI,100440466875.0,218.11,219.99,219.99,216.9,217.5,-0.61,-0.28,36278.0,Lucky Core Industries Limited,CHEMICAL,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
APL,72534528000.0,584.39,584.01,586.5,580.0,583.0,-1.39,-0.24,14787.0,Attock Petroleum Limited,OIL & GAS MKTNG,2026-09-04T10:22:18+00:00,Open,"Sep 4, 2026 3:21 PM"
