symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc
CNERGY,70535866811.64,13.13,13.2,13.67,12.62,12.84,-0.29,-2.21,133907407.0,Cnergyico PK Limited,REFINERY,2026-08-11T11:00:18+00:00
BOP,111593229471.09,35.28,35.15,35.15,33.9,34.11,-1.17,-3.32,22518009.0,The Bank of Punjab,COMMERCIAL BANKS,2026-08-11T11:00:18+00:00
KEL,206561652952.6,7.48,7.49,7.84,7.4,7.48,0.0,0.0,61848727.0,K-Electric Limited,POWER GENERATION,2026-08-11T11:00:18+00:00
PIBTL,29577696304.319996,16.68,16.7,16.78,16.5,16.56,-0.12,-0.72,8727619.0,Pakistan International Bulk Terminal,TRANSPORT,2026-08-11T11:00:18+00:00
MLCF,105437176495.20001,102.98,101.99,101.99,100.0,100.65,-2.33,-2.26,9302551.0,Maple Leaf Cement Factory Limited,CEMENT,2026-08-11T11:00:18+00:00
TPLRF1,18221550000.0,10.06,9.96,10.1,9.84,9.93,-0.13,-1.29,3935180.0,TPL REIT Fund I,REIT,2026-08-11T11:00:18+00:00
LOTCHEM,42382659528.0,27.75,27.84,28.4,27.72,27.99,0.24,0.87,15435620.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-08-11T11:00:18+00:00
SSGC,23502847124.12,27.11,27.19,27.56,26.5,26.68,-0.43,-1.59,9922352.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-08-11T11:00:18+00:00
PAEL,39827766483.119995,43.9,43.69,44.3,43.0,43.12,-0.78,-1.78,4413444.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-08-11T11:00:18+00:00
FCCL,141431170705.19998,57.97,57.74,58.45,56.9,57.66,-0.31,-0.53,14539561.0,Fauji Cement Company Limited,CEMENT,2026-08-11T11:00:18+00:00
PSX,41500458348.0,52.37,52.35,53.0,51.51,51.78,-0.59,-1.13,1813362.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-08-11T11:00:18+00:00
PTC,270407100000.00003,72.15,72.0,73.0,71.1,71.65,-0.5,-0.69,1721801.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-08-11T11:00:18+00:00
DGKC,93328130042.94,217.01,216.48,216.48,212.66,213.02,-3.99,-1.84,1991776.0,D.G. Khan Cement Company Limited,CEMENT,2026-08-11T11:00:18+00:00
AKBL,155886622704.92,106.82,106.7,107.98,106.12,107.56,0.74,0.69,2842815.0,Askari Bank Limited,COMMERCIAL BANKS,2026-08-11T11:00:18+00:00
BAFL,188408145115.74,59.84,59.85,60.0,59.13,59.73,-0.11,-0.18,3021476.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-08-11T11:00:18+00:00
NBP,433480745632.5,206.04,205.0,205.51,201.99,203.75,-2.29,-1.11,1494509.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-08-11T11:00:18+00:00
PPL,622666213684.3201,229.47,229.47,234.2,227.01,228.84,-0.63,-0.27,9506790.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-08-11T11:00:18+00:00
