symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc
CNERGY,77842152081.06999,14.45,14.62,15.3,13.9,14.17,-0.28,-1.94,266477645.0,Cnergyico PK Limited,REFINERY,2026-08-24T11:04:28+00:00
KEL,196896334966.85,7.15,7.19,7.2,7.1,7.13,-0.02,-0.28,10392367.0,K-Electric Limited,POWER GENERATION,2026-08-24T11:04:28+00:00
BOP,107569199208.72,32.83,32.83,33.46,32.8,32.88,0.05,0.15,9510398.0,The Bank of Punjab,COMMERCIAL BANKS,2026-08-24T11:04:28+00:00
PIBTL,29166894966.76,16.37,16.48,16.58,16.2,16.33,-0.04,-0.24,5593123.0,Pakistan International Bulk Terminal,TRANSPORT,2026-08-24T11:04:28+00:00
MLCF,106537117233.6,97.9,98.99,102.1,98.8,101.7,3.8,3.88,14664556.0,Maple Leaf Cement Factory Limited,CEMENT,2026-08-24T11:04:28+00:00
LOTCHEM,41610413856.0,27.31,27.5,27.6,27.06,27.48,0.17,0.62,2700263.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-08-24T11:04:28+00:00
SSGC,24956359033.969997,27.53,27.86,29.5,27.42,28.33,0.8,2.91,19306022.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-08-24T11:04:28+00:00
TPLRF1,17762800000.0,9.66,9.66,9.95,9.6,9.68,0.02,0.21,3965122.0,TPL REIT Fund I,REIT,2026-08-24T11:04:28+00:00
FCCL,139051908901.8,55.37,55.95,57.0,55.41,56.69,1.32,2.38,4729968.0,Fauji Cement Company Limited,CEMENT,2026-08-24T11:04:28+00:00
PSX,41276044900.0,50.71,51.24,51.85,51.0,51.5,0.79,1.56,1796956.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-08-24T11:04:28+00:00
PPL,668432887841.6799,240.66,242.02,250.0,242.0,245.66,5.0,2.08,22019239.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-08-24T11:04:28+00:00
PAEL,37851156550.979996,40.4,40.6,41.49,40.41,40.98,0.58,1.44,2856698.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-08-24T11:04:28+00:00
DGKC,95650161257.04,211.86,214.15,219.7,214.15,218.32,6.46,3.05,7460654.0,D.G. Khan Cement Company Limited,CEMENT,2026-08-24T11:04:28+00:00
HUBC,269237367264.0,206.96,209.0,209.5,206.26,207.56,0.6,0.29,3016161.0,The Hub Power Company Limited,POWER GENERATION,2026-08-24T11:04:28+00:00
PSO,176273139951.0,375.45,379.45,384.4,373.55,375.47,0.02,0.01,5698581.0,Pakistan State Oil Company Limited,OIL & GAS MKTNG,2026-08-24T11:04:28+00:00
BAFL,179986083380.28,56.32,56.5,57.5,56.32,57.06,0.74,1.31,2185419.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-08-24T11:04:28+00:00
OGDC,1423994383956.0,325.82,327.0,335.0,327.0,331.09,5.27,1.62,8635533.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-08-24T11:04:28+00:00
PTC,265048020000.0,71.04,71.0,71.99,70.02,70.23,-0.81,-1.14,2729216.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-08-24T11:04:28+00:00
AKBL,149857538003.80002,103.81,104.0,104.87,102.91,103.4,-0.41,-0.39,1125265.0,Askari Bank Limited,COMMERCIAL BANKS,2026-08-24T11:04:28+00:00
TRG,31763552329.600002,60.15,60.0,60.5,57.51,58.24,-1.91,-3.17,2922296.0,TRG Pakistan Limited,TECH & COMMUNICATION,2026-08-24T11:04:28+00:00
SNGP,65654109160.799995,102.49,102.61,105.98,102.51,103.52,1.03,1.01,4953530.0,Sui Northern Gas Pipelines Limited,OIL & GAS MKTNG,2026-08-24T11:04:28+00:00
