symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc,market_state,market_state_at_karachi
CNERGY,67953946453.27,13.06,13.0,13.05,12.24,12.37,-0.69,-5.28,99405516.0,Cnergyico PK Limited,REFINERY,2026-09-10T11:00:12+00:00,Closed,"Sep 10, 2026 3:59 PM"
BOP,103774178798.68,32.63,32.6,32.63,31.61,31.72,-0.91,-2.79,14861736.0,The Bank of Punjab,COMMERCIAL BANKS,2026-09-10T11:00:12+00:00,Closed,"Sep 10, 2026 3:59 PM"
KEL,188059472808.44998,7.03,7.05,7.12,6.77,6.81,-0.22,-3.13,28003900.0,K-Electric Limited,POWER GENERATION,2026-09-10T11:00:12+00:00,Closed,"Sep 10, 2026 3:59 PM"
PIBTL,27005722712.64,16.07,16.03,16.03,14.98,15.12,-0.95,-5.91,14936604.0,Pakistan International Bulk Terminal,TRANSPORT,2026-09-10T11:00:12+00:00,Closed,"Sep 10, 2026 3:59 PM"
MLCF,98565165786.72,97.62,97.3,97.62,93.5,94.09,-3.53,-3.62,9087463.0,Maple Leaf Cement Factory Limited,CEMENT,2026-09-10T11:00:12+00:00,Closed,"Sep 10, 2026 3:59 PM"
SSGC,21045090622.010002,25.56,25.66,25.8,23.7,23.89,-1.67,-6.53,6745940.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-09-10T11:00:12+00:00,Closed,"Sep 10, 2026 3:59 PM"
PPL,580110281233.6,219.91,219.43,219.99,211.8,213.2,-6.71,-3.05,4439705.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-09-10T11:00:12+00:00,Closed,"Sep 10, 2026 3:59 PM"
FCCL,127204656829.2,52.63,52.4,52.7,51.01,51.86,-0.77,-1.46,5714530.0,Fauji Cement Company Limited,CEMENT,2026-09-10T11:00:12+00:00,Closed,"Sep 10, 2026 3:59 PM"
LOTCHEM,38703136032.0,26.18,26.25,26.25,25.36,25.56,-0.62,-2.37,6456022.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-09-10T11:00:12+00:00,Closed,"Sep 10, 2026 3:59 PM"
TPLRF1,16625100000.0,9.53,9.53,9.64,8.97,9.06,-0.47,-4.93,2912821.0,TPL REIT Fund I,REIT,2026-09-10T11:00:12+00:00,Closed,"Sep 10, 2026 3:59 PM"
PAEL,33288328016.04,37.14,37.0,37.14,35.8,36.04,-1.1,-2.96,3919531.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-09-10T11:00:12+00:00,Closed,"Sep 10, 2026 3:59 PM"
HUBC,262401363576.0,206.05,207.0,208.0,202.0,202.29,-3.76,-1.82,2015593.0,The Hub Power Company Limited,POWER GENERATION,2026-09-10T11:00:12+00:00,Closed,"Sep 10, 2026 3:59 PM"
