symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc
CNERGY,60153250902.45,10.76,10.96,11.48,10.8,10.95,0.19,1.77,273053795.0,Cnergyico PK Limited,REFINERY,2026-07-28T11:11:06+00:00
KEL,204076285470.55,7.47,7.58,7.58,7.35,7.39,-0.08,-1.07,15390222.0,K-Electric Limited,POWER GENERATION,2026-07-28T11:11:06+00:00
BOP,111069778380.05,34.61,34.5,34.71,33.9,33.95,-0.66,-1.91,12724644.0,The Bank of Punjab,COMMERCIAL BANKS,2026-07-28T11:11:06+00:00
LOTCHEMXD,41943539440.0,27.68,27.9,28.2,27.35,27.7,0.02,0.07,6372615.0,LOTCHEMXD,Unknown,2026-07-28T11:11:06+00:00
MLCF,101519292341.28,96.56,98.0,99.01,96.15,96.91,0.35,0.36,24346490.0,Maple Leaf Cement Factory Limited,CEMENT,2026-07-28T11:11:06+00:00
PIBTL,29881332075.56,16.8,16.85,16.95,16.6,16.73,-0.07,-0.42,7606738.0,Pakistan International Bulk Terminal,TRANSPORT,2026-07-28T11:11:06+00:00
SSGC,22868587381.64,25.97,26.44,26.44,25.7,25.96,-0.01,-0.04,8524882.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-07-28T11:11:06+00:00
TPLRF1,18441750000.0,10.18,10.35,10.35,10.01,10.05,-0.13,-1.28,2015564.0,TPL REIT Fund I,REIT,2026-07-28T11:11:06+00:00
PAEL,39892421948.189995,43.37,43.99,44.28,43.0,43.19,-0.18,-0.41,6518744.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-07-28T11:11:06+00:00
FCCL,136991517237.0,56.47,56.9,57.19,55.45,55.85,-0.62,-1.1,12014649.0,Fauji Cement Company Limited,CEMENT,2026-07-28T11:11:06+00:00
PTC,264180000000.0,71.07,71.0,73.9,69.0,70.0,-1.07,-1.51,11204880.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-07-28T11:11:06+00:00
PSX,40089859532.0,51.14,51.2,51.7,49.85,50.02,-1.12,-2.19,6106040.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-07-28T11:11:06+00:00
DGKC,93463946963.01001,213.87,213.87,219.5,211.52,213.33,-0.54,-0.25,10664499.0,D.G. Khan Cement Company Limited,CEMENT,2026-07-28T11:11:06+00:00
NBP,441373818350.52,208.6,208.6,209.6,205.1,207.46,-1.14,-0.55,2929573.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-07-28T11:11:06+00:00
AKBL,154930085228.30002,107.4,108.26,110.0,106.45,106.9,-0.5,-0.47,4316199.0,Askari Bank Limited,COMMERCIAL BANKS,2026-07-28T11:11:06+00:00
PPL,606340408396.3201,224.67,227.45,227.45,222.0,222.84,-1.83,-0.81,2745021.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-07-28T11:11:06+00:00
OGDC,1380598016400.0,323.45,325.9,326.9,320.16,321.0,-2.45,-0.76,3219717.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-07-28T11:11:06+00:00
FFL,40848602483.19,16.85,16.6,16.6,16.02,16.21,-0.64,-3.8,4098518.0,Fauji Foods Limited,FOOD & PERSONAL CARE,2026-07-28T11:11:06+00:00
SNGP,65869742826.9,104.67,105.0,106.5,103.13,103.86,-0.81,-0.77,1248726.0,Sui Northern Gas Pipelines Limited,OIL & GAS MKTNG,2026-07-28T11:11:06+00:00
HUBC,289278402744.0,224.39,225.88,226.3,222.5,223.01,-1.38,-0.61,2574581.0,The Hub Power Company Limited,POWER GENERATION,2026-07-28T11:11:06+00:00
BAFL,180175343194.56,57.52,57.73,58.0,57.0,57.12,-0.4,-0.69,2011127.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-07-28T11:11:06+00:00
TRG,32936142259.35,60.05,60.4,61.8,60.0,60.39,0.34,0.57,3790851.0,TRG Pakistan Limited,TECH & COMMUNICATION,2026-07-28T11:11:06+00:00
SEARL,54104345908.200005,93.01,93.48,93.55,91.7,91.98,-1.03,-1.11,1578709.0,The Searle Company Limited,PHARMA,2026-07-28T11:11:06+00:00
ENGROH,340388215424.04004,281.71,282.9,285.77,280.0,282.66,0.95,0.34,1226818.0,Engro Holdings Limited,INV. BANKS / SECURITIES,2026-07-28T11:11:06+00:00
AHCL,64055735869.299995,15.3,15.4,15.45,15.07,15.19,-0.11,-0.72,1176156.0,Arif Habib Corporation Limited,FERTILIZER,2026-07-28T11:11:06+00:00
UBL,1185335587507.5,477.91,480.3,481.97,471.0,473.33,-4.58,-0.96,1573840.0,United Bank Limited,COMMERCIAL BANKS,2026-07-28T11:11:06+00:00
YOUW,944491700.0000001,5.6,5.7,5.72,5.4,5.48,-0.12,-2.14,1030758.0,Yousaf Weaving Mills Limited,TEXTILE WEAVING,2026-07-28T11:11:06+00:00
POWER,27152618037.84,21.38,21.21,21.39,21.0,21.04,-0.34,-1.59,1003856.0,Power Cement Limited,CEMENT,2026-07-28T11:11:06+00:00
PSO,161775804447.0,347.95,348.49,349.55,342.37,344.59,-3.36,-0.97,2268596.0,Pakistan State Oil Company Limited,OIL & GAS MKTNG,2026-07-28T11:11:06+00:00
NML,52715365210.64,146.37,147.79,157.48,146.94,149.93,3.56,2.43,6887409.0,Nishat Mills Limited,TEXTILE COMPOSITE,2026-07-28T11:11:06+00:00
HBL,450089023554.72,308.18,309.01,309.8,305.31,306.84,-1.34,-0.43,1258488.0,Habib Bank Limited,COMMERCIAL BANKS,2026-07-28T11:11:06+00:00
NPL,23830156050.0,67.61,68.88,68.88,66.6,67.3,-0.31,-0.46,1918566.0,Nishat Power Limited,POWER GENERATION,2026-07-28T11:11:06+00:00
LUCK,666633600000.0,456.6,461.0,462.0,452.01,455.04,-1.56,-0.34,4407482.0,Lucky Cement Limited,CEMENT,2026-07-28T11:11:06+00:00
ILP,146002058186.88,101.5,102.5,104.9,101.6,104.16,2.66,2.62,1177407.0,Interloop Limited,TEXTILE COMPOSITE,2026-07-28T11:11:06+00:00
HUMNL,11884320000.0,10.72,10.8,10.8,10.32,10.48,-0.24,-2.24,1484540.0,Hum Network Limited,TECH & COMMUNICATION,2026-07-28T11:11:06+00:00
JVDC,55293319695.46,145.48,146.74,146.74,144.0,145.18,-0.3,-0.21,552678.0,Javedan Corporation Limited,PROPERTY,2026-07-28T11:11:06+00:00
SYS,198924332769.34998,135.87,136.87,136.87,133.85,135.01,-0.86,-0.63,1746526.0,Systems Limited,TECH & COMMUNICATION,2026-07-28T11:11:06+00:00
MEBL,1013136091587.3599,563.8,566.0,570.05,561.11,562.68,-1.12,-0.2,2208555.0,Meezan Bank Limited,COMMERCIAL BANKS,2026-07-28T11:11:06+00:00
AIRLINK,55068909262.92,142.0,143.0,143.0,138.5,139.32,-2.68,-1.89,995906.0,Air Link Communication Limited,TECH & COMMUNICATION,2026-07-28T11:11:06+00:00
FATIMA,330141000000.0,158.13,158.5,159.0,155.03,157.21,-0.92,-0.58,395476.0,Fatima Fertilizer Company Limited,FERTILIZER,2026-07-28T11:11:06+00:00
FABL,153226641264.96,101.47,102.0,102.0,99.1,100.96,-0.51,-0.5,1284747.0,Faysal Bank Limited,COMMERCIAL BANKS,2026-07-28T11:11:06+00:00
FFC,788167430830.02,548.17,548.17,554.9,547.0,547.71,-0.46,-0.08,878650.0,Fauji Fertilizer Company Limited,FERTILIZER,2026-07-28T11:11:06+00:00
GAL,34063553950.000004,598.93,600.21,604.25,592.02,597.58,-1.35,-0.22,1110647.0,Ghandhara Automobiles Limited,AUTO ASSEMBLER,2026-07-28T11:11:06+00:00
CPHL,17031782460.0,75.17,75.78,75.78,74.31,74.55,-0.62,-0.83,340485.0,Citi Pharma Ltd.,PHARMA,2026-07-28T11:11:06+00:00
EFERT,253239526468.75,191.06,192.0,192.0,189.25,189.65,-1.41,-0.74,609065.0,Engro Fertilizers Limited,FERTILIZER,2026-07-28T11:11:06+00:00
KAPCO,24400619480.16,27.75,27.88,27.92,27.61,27.72,-0.03,-0.11,369559.0,Kot Addu Power Company Limited,POWER GENERATION,2026-07-28T11:11:06+00:00
MARI,781425154125.0,654.37,658.9,658.9,650.0,650.85,-3.52,-0.54,298075.0,Mari Energies Limited,OIL & GAS EXPLORATION,2026-07-28T11:11:06+00:00
KOHC,90514916513.09999,98.63,99.97,99.97,97.16,98.46,-0.17,-0.17,364547.0,Kohat Cement Company Limited,CEMENT,2026-07-28T11:11:06+00:00
KTML,62302429145.600006,47.05,47.3,47.49,45.35,46.27,-0.78,-1.66,200301.0,Kohinoor Textile Mills Limited,TEXTILE COMPOSITE,2026-07-28T11:11:06+00:00
AGP,54219199999.99999,195.49,195.89,196.89,192.5,193.64,-1.85,-0.95,216973.0,AGP Limited,PHARMA,2026-07-28T11:11:06+00:00
HCAR,34914600000.0,249.35,254.89,256.5,242.52,244.5,-4.85,-1.94,1664359.0,Honda Atlas Cars (Pakistan) Limited,AUTO ASSEMBLER,2026-07-28T11:11:06+00:00
GHGL,39058858720.66,39.94,40.13,40.13,38.01,39.07,-0.87,-2.18,97283.0,Ghani Glass Limited,GLASS & CERAMICS,2026-07-28T11:11:06+00:00
ATRL,103584083850.0,943.67,955.0,1003.9,953.5,971.56,27.89,2.96,2523018.0,Attock Refinery Limited,REFINERY,2026-07-28T11:11:06+00:00
BAHL,189509148193.69,170.87,171.74,171.74,169.51,170.51,-0.36,-0.21,798313.0,Bank AL Habib Limited,COMMERCIAL BANKS,2026-07-28T11:11:06+00:00
ISL,38058150000.0,88.87,89.5,90.2,87.07,87.49,-1.38,-1.55,273159.0,International Steels Limited,ENGINEERING,2026-07-28T11:11:06+00:00
MCB,484867301454.89996,410.21,412.26,412.98,407.51,409.15,-1.06,-0.26,299409.0,MCB Bank Limited,COMMERCIAL BANKS,2026-07-28T11:11:06+00:00
AICL,31696000000.0,82.33,83.87,90.56,82.01,90.56,8.23,10.0,7505392.0,Adamjee Insurance Company Limited,INSURANCE,2026-07-28T11:11:06+00:00
CHCC,61509923130.03999,322.18,327.0,327.0,315.0,316.58,-5.6,-1.74,212091.0,Cherat Cement Company Limited,CEMENT,2026-07-28T11:11:06+00:00
DCRXD,84411652000.0,37.94,37.7,38.18,37.7,37.96,0.02,0.05,188439.0,DCRXD,Unknown,2026-07-28T11:11:06+00:00
HMB,119337527257.2,114.66,115.0,115.5,113.6,113.89,-0.77,-0.67,181819.0,Habib Metropolitan Bank Limited,COMMERCIAL BANKS,2026-07-28T11:11:06+00:00
GHNI,52278495057.36,1214.18,1216.0,1244.9,1200.0,1226.94,12.76,1.05,432977.0,Ghandhara Industries Limited,AUTO ASSEMBLER,2026-07-28T11:11:06+00:00
PIOC,65323449890.939995,295.89,296.0,299.7,286.5,287.58,-8.31,-2.81,536031.0,Pioneer Cement Limited,CEMENT,2026-07-28T11:11:06+00:00
GLAXO,112880726687.09999,355.42,355.0,361.75,353.0,354.45,-0.97,-0.27,239005.0,GlaxoSmithKline Pakistan Limited,PHARMA,2026-07-28T11:11:06+00:00
MTL,118819727076.37999,294.82,295.0,299.6,293.01,297.77,2.95,1.0,207573.0,Millat Tractors Limited,AUTO ASSEMBLER,2026-07-28T11:11:06+00:00
HGFAXD,4337550000.0,15.95,16.0,16.0,15.21,15.3,-0.65,-4.07,2819.0,HGFAXD,Unknown,2026-07-28T11:11:06+00:00
TGL,33214493908.96,195.31,197.95,197.95,190.1,192.92,-2.39,-1.22,94771.0,Tariq Glass Industries Limited,GLASS & CERAMICS,2026-07-28T11:11:06+00:00
NATF,89614164405.0,384.24,387.01,390.0,382.5,384.42,0.18,0.05,53701.0,National Foods Limited,FOOD & PERSONAL CARE,2026-07-28T11:11:06+00:00
INIL,22008444796.8,168.57,170.8,170.8,166.29,166.88,-1.69,-1.0,129656.0,International Industries Limited,ENGINEERING,2026-07-28T11:11:06+00:00
