symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc
CNERGY,80533941390.86,15.0,14.95,15.02,14.43,14.66,-0.34,-2.27,124889531.0,Cnergyico PK Limited,REFINERY,2026-09-02T14:23:39+00:00
BOP,111495082391.51999,34.43,34.2,34.93,33.81,34.08,-0.35,-1.02,25400661.0,The Bank of Punjab,COMMERCIAL BANKS,2026-09-02T14:23:39+00:00
KEL,196620183024.4,7.25,7.22,7.22,7.06,7.12,-0.13,-1.79,14549818.0,K-Electric Limited,POWER GENERATION,2026-09-02T14:23:39+00:00
PIBTL,28881120123.24,16.49,16.49,16.49,16.06,16.17,-0.32,-1.94,4558573.0,Pakistan International Bulk Terminal,TRANSPORT,2026-09-02T14:23:39+00:00
MLCF,102074500523.52,99.27,98.0,98.0,95.7,97.44,-1.83,-1.84,9894318.0,Maple Leaf Cement Factory Limited,CEMENT,2026-09-02T14:23:39+00:00
SSGC,24049015235.7,27.94,27.7,27.83,27.07,27.3,-0.64,-2.29,5090978.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-09-02T14:23:39+00:00
LOTCHEM,40671605392.0,27.51,27.5,27.77,26.75,26.86,-0.65,-2.36,4054545.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-09-02T14:23:39+00:00
FCCL,130687699881.6,54.27,54.05,54.05,53.07,53.28,-0.99,-1.82,2895285.0,Fauji Cement Company Limited,CEMENT,2026-09-02T14:23:39+00:00
PPL,617578004369.5599,232.24,229.94,230.4,226.0,226.97,-5.27,-2.27,3893896.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-09-02T14:23:39+00:00
TPLRF1,17634350000.0,9.82,9.75,9.8,9.6,9.61,-0.21,-2.14,901387.0,TPL REIT Fund I,REIT,2026-09-02T14:23:39+00:00
PAEL,35089444542.990005,38.75,38.25,38.48,37.8,37.99,-0.76,-1.96,3990237.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-09-02T14:23:39+00:00
DGKC,88714735951.53,207.81,205.4,205.4,202.0,202.49,-5.32,-2.56,3290657.0,D.G. Khan Cement Company Limited,CEMENT,2026-09-02T14:23:39+00:00
HUBC,269042794104.0,209.45,207.51,209.9,207.0,207.41,-2.04,-0.97,2011476.0,The Hub Power Company Limited,POWER GENERATION,2026-09-02T14:23:39+00:00
