symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc
CNERGY,82456648040.70999,13.68,14.0,15.05,13.83,15.01,1.33,9.72,312517593.0,Cnergyico PK Limited,REFINERY,2026-08-17T11:00:14+00:00
KEL,206009349067.7,7.36,7.35,7.58,7.29,7.46,0.1,1.36,30716893.0,K-Electric Limited,POWER GENERATION,2026-08-17T11:00:14+00:00
BOP,112934572891.88,34.58,34.88,34.89,34.48,34.52,-0.06,-0.17,6809647.0,The Bank of Punjab,COMMERCIAL BANKS,2026-08-17T11:00:14+00:00
MLCF,106715202876.96,101.93,102.01,102.75,101.75,101.87,-0.06,-0.06,6448946.0,Maple Leaf Cement Factory Limited,CEMENT,2026-08-17T11:00:14+00:00
LOTCHEM,41701266288.0,27.51,27.6,27.98,27.35,27.54,0.03,0.11,4741883.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-08-17T11:00:14+00:00
TPLRF1,18313300000.0,10.03,10.1,10.14,9.81,9.98,-0.05,-0.5,4121000.0,TPL REIT Fund I,REIT,2026-08-17T11:00:14+00:00
PIBTL,29917053931.0,16.72,16.75,16.9,16.66,16.75,0.03,0.18,8401797.0,Pakistan International Bulk Terminal,TRANSPORT,2026-08-17T11:00:14+00:00
SSGC,25106114806.5,27.1,27.2,28.75,27.03,28.5,1.4,5.17,23687048.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-08-17T11:00:14+00:00
PAEL,39550671632.82,42.86,42.66,43.1,42.38,42.82,-0.04,-0.09,3186001.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-08-17T11:00:14+00:00
FCCL,139517949873.6,57.55,57.67,57.98,56.49,56.88,-0.67,-1.16,3810710.0,Fauji Cement Company Limited,CEMENT,2026-08-17T11:00:14+00:00
PSX,42237816820.0,52.8,52.99,53.48,52.51,52.7,-0.1,-0.19,2255874.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-08-17T11:00:14+00:00
DGKC,93867016532.25,215.81,218.0,218.0,213.5,214.25,-1.56,-0.72,1369599.0,D.G. Khan Cement Company Limited,CEMENT,2026-08-17T11:00:14+00:00
PTC,272143140000.0,71.18,72.0,72.6,71.25,72.11,0.93,1.31,1702519.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-08-17T11:00:14+00:00
BAFL,181405531987.38,57.72,58.0,58.39,57.0,57.51,-0.21,-0.36,3929935.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-08-17T11:00:14+00:00
PPL,650420082673.9199,230.62,232.0,240.49,231.35,239.04,8.42,3.65,11007486.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-08-17T11:00:14+00:00
HUBC,274802159640.0,212.96,213.6,214.3,211.5,211.85,-1.11,-0.52,2724616.0,The Hub Power Company Limited,POWER GENERATION,2026-08-17T11:00:14+00:00
AKBL,151886556893.6,104.59,105.05,105.55,104.0,104.8,0.21,0.2,502608.0,Askari Bank Limited,COMMERCIAL BANKS,2026-08-17T11:00:14+00:00
OGDC,1381888294920.0,318.48,319.8,324.74,318.5,321.3,2.82,0.89,5793309.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-08-17T11:00:14+00:00
