symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc
CNERGY,60757530135.26,11.01,11.16,11.23,10.95,11.06,0.05,0.45,40200390.0,Cnergyico PK Limited,REFINERY,2026-08-05T16:39:09+00:00
KEL,202143221873.4,7.26,7.36,7.39,7.21,7.32,0.06,0.83,18525074.0,K-Electric Limited,POWER GENERATION,2026-08-05T16:39:09+00:00
BOP,113687033835.25,33.7,34.15,34.9,33.99,34.75,1.05,3.12,40114047.0,The Bank of Punjab,COMMERCIAL BANKS,2026-08-05T16:39:09+00:00
PIBTL,29970636714.160004,16.74,17.01,17.13,16.67,16.78,0.04,0.24,20001936.0,Pakistan International Bulk Terminal,TRANSPORT,2026-08-05T16:39:09+00:00
MLCF,102598281827.52,95.93,98.99,99.19,97.2,97.94,2.01,2.1,13720705.0,Maple Leaf Cement Factory Limited,CEMENT,2026-08-05T16:39:09+00:00
TPLRF1,18386700000.0,10.18,9.81,10.16,9.81,10.02,-0.16,-1.57,9576353.0,TPL REIT Fund I,REIT,2026-08-05T16:39:09+00:00
LOTCHEM,41065299264.0,26.91,27.25,27.3,26.88,27.12,0.21,0.78,2401867.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-08-05T16:39:09+00:00
SSGC,23855213647.719997,26.74,27.99,27.99,26.9,27.08,0.34,1.27,18315303.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-08-05T16:39:09+00:00
PAEL,39070373892.299995,41.92,42.99,43.19,42.24,42.3,0.38,0.91,3747688.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-08-05T16:39:09+00:00
FCCL,138389640152.4,55.14,56.9,56.9,55.65,56.42,1.28,2.32,9241775.0,Fauji Cement Company Limited,CEMENT,2026-08-05T16:39:09+00:00
PSX,42293920182.0,51.71,52.6,53.1,51.88,52.77,1.06,2.05,4981881.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-08-05T16:39:09+00:00
PTC,271048679999.99997,71.46,72.5,72.99,70.8,71.82,0.36,0.5,2866909.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-08-05T16:39:09+00:00
AKBL,156944611126.03,104.76,107.79,108.9,105.0,108.29,3.53,3.37,5721802.0,Askari Bank Limited,COMMERCIAL BANKS,2026-08-05T16:39:09+00:00
DGKC,95067462858.03,212.03,220.5,221.0,215.77,216.99,4.96,2.34,6052788.0,D.G. Khan Cement Company Limited,CEMENT,2026-08-05T16:39:09+00:00
NBP,440139860890.56,203.28,206.0,208.25,205.11,206.88,3.6,1.77,3372317.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-08-05T16:39:09+00:00
BAFL,186010854134.86,58.69,59.08,59.22,58.78,58.97,0.28,0.48,11134217.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-08-05T16:39:09+00:00
OGDC,1360383652920.0,314.11,319.24,319.45,314.8,316.3,2.19,0.7,3514890.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-08-05T16:39:09+00:00
PPL,600490328168.12,217.72,222.0,222.5,218.9,220.69,2.97,1.36,4632006.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-08-05T16:39:09+00:00
FFL,41352595110.99,16.1,16.35,16.54,16.21,16.41,0.31,1.93,4193718.0,Fauji Foods Limited,FOOD & PERSONAL CARE,2026-08-05T16:39:09+00:00
TRG,33492440737.649998,60.67,61.7,61.8,60.76,61.41,0.74,1.22,2535596.0,TRG Pakistan Limited,TECH & COMMUNICATION,2026-08-05T16:39:09+00:00
SNGP,67379178489.6,106.8,108.01,109.5,105.55,106.24,-0.56,-0.52,3047879.0,Sui Northern Gas Pipelines Limited,OIL & GAS MKTNG,2026-08-05T16:39:09+00:00
HUBC,287345642688.0,218.48,220.8,222.99,220.2,221.52,3.04,1.39,2905566.0,The Hub Power Company Limited,POWER GENERATION,2026-08-05T16:39:09+00:00
SEARL,53539656061.799995,90.07,92.0,92.0,90.49,91.02,0.95,1.06,1647944.0,The Searle Company Limited,PHARMA,2026-08-05T16:39:09+00:00
UBL,1180602559260.0,462.71,470.0,473.5,463.0,471.44,8.73,1.89,2431158.0,United Bank Limited,COMMERCIAL BANKS,2026-08-05T16:39:09+00:00
PSO,165864916890.0,353.61,357.3,359.9,352.1,353.3,-0.31,-0.09,3114133.0,Pakistan State Oil Company Limited,OIL & GAS MKTNG,2026-08-05T16:39:09+00:00
AHCL,67597988544.100006,15.73,16.1,16.15,15.85,16.03,0.3,1.91,2191884.0,Arif Habib Corporation Limited,FERTILIZER,2026-08-05T16:39:09+00:00
NML,51776593616.479996,144.38,146.81,148.19,145.76,147.26,2.88,2.0,1069620.0,Nishat Mills Limited,TEXTILE COMPOSITE,2026-08-05T16:39:09+00:00
HBL,472385181676.32,306.99,311.0,325.0,309.03,322.04,15.05,4.9,10590851.0,Habib Bank Limited,COMMERCIAL BANKS,2026-08-05T16:39:09+00:00
