symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc,market_state,market_state_at_karachi
CNERGY,70316128908.8,12.81,12.82,12.95,12.7,12.8,-0.01,-0.08,21570320.0,Cnergyico PK Limited,REFINERY,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
BOP,98539667888.28,30.68,30.32,30.47,30.01,30.12,-0.56,-1.82,7319592.0,The Bank of Punjab,COMMERCIAL BANKS,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
KEL,180051066477.4,6.62,6.64,6.65,6.48,6.52,-0.1,-1.51,10304985.0,K-Electric Limited,POWER GENERATION,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
PIBTL,26577060447.36,14.87,14.9,14.99,14.72,14.88,0.01,0.07,4159084.0,Pakistan International Bulk Terminal,TRANSPORT,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
MLCF,95663417362.56,93.3,92.3,93.61,90.51,91.32,-1.98,-2.12,7727786.0,Maple Leaf Cement Factory Limited,CEMENT,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
SSGC,20243456780.82,23.57,23.4,23.49,22.9,22.98,-0.59,-2.5,3781069.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
PPL,593252554490.4401,219.9,219.88,222.19,217.45,218.03,-1.87,-0.85,2705448.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
FCCL,128504665855.8,52.79,52.32,53.98,52.2,52.39,-0.4,-0.76,5435345.0,Fauji Cement Company Limited,CEMENT,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
LOTCHEM,37204070904.0,24.88,24.61,24.89,24.41,24.57,-0.31,-1.25,2270105.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
TPLRF1,17102200000.0,9.32,9.84,9.84,9.2,9.32,0.0,0.0,1103791.0,TPL REIT Fund I,REIT,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
PAEL,32438570475.12,35.33,35.01,35.33,35.01,35.12,-0.21,-0.59,872561.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
HUBC,262349477400.0,202.71,202.99,203.5,201.0,202.25,-0.46,-0.23,1080063.0,The Hub Power Company Limited,POWER GENERATION,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
OGDC,1351093647576.0,314.87,314.0,315.97,313.66,314.14,-0.73,-0.23,2470185.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
PSO,159404964282.0,340.51,340.55,342.0,337.58,339.54,-0.97,-0.29,976607.0,Pakistan State Oil Company Limited,OIL & GAS MKTNG,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
DGKC,83347777013.28,192.07,191.9,192.5,188.5,190.24,-1.83,-0.95,1589844.0,D.G. Khan Cement Company Limited,CEMENT,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
BAFL,175002241604.24,56.53,56.5,57.0,55.15,55.48,-1.05,-1.86,2620105.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
TRG,26773227744.850002,50.41,50.4,50.9,48.8,49.09,-1.32,-2.62,1033610.0,TRG Pakistan Limited,TECH & COMMUNICATION,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
SNGP,56958998683.65,89.99,89.75,90.47,89.0,89.81,-0.18,-0.2,812618.0,Sui Northern Gas Pipelines Limited,OIL & GAS MKTNG,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
AKBL,153277884132.32,105.9,104.74,106.55,104.74,105.76,-0.14,-0.13,613993.0,Askari Bank Limited,COMMERCIAL BANKS,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
PSX,35337103294.0,46.04,46.0,46.0,43.85,44.09,-1.95,-4.23,1587440.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
NPL,21974732310.0,62.66,62.49,63.39,61.78,62.06,-0.6,-0.96,683392.0,Nishat Power Limited,POWER GENERATION,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
NBP,359804975221.44,178.47,178.97,178.97,168.75,169.12,-9.35,-5.24,19320925.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
AHCL,63128003025.9,15.22,15.22,15.38,14.9,14.97,-0.25,-1.64,825236.0,Arif Habib Corporation Limited,FERTILIZER,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
PTC,235610820000.0,64.25,64.0,64.89,62.06,62.43,-1.82,-2.83,921508.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
FFL,36237069938.82,14.52,14.53,14.7,14.3,14.38,-0.14,-0.96,981834.0,Fauji Foods Limited,FOOD & PERSONAL CARE,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
HBL,431474665228.19995,298.79,297.5,297.9,291.45,294.15,-4.64,-1.55,1681546.0,Habib Bank Limited,COMMERCIAL BANKS,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
SYS,179932149602.2,123.01,123.5,123.99,121.8,122.12,-0.89,-0.72,979358.0,Systems Limited,TECH & COMMUNICATION,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
POWER,28017268897.41,22.12,22.18,22.18,21.61,21.71,-0.41,-1.85,322284.0,Power Cement Limited,CEMENT,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
SEARL,45275184872.3,78.19,78.0,78.18,76.62,76.97,-1.22,-1.56,1308440.0,The Searle Company Limited,PHARMA,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
HUMNL,11056500000.0,10.08,10.15,10.15,9.63,9.75,-0.33,-3.27,2535015.0,Hum Network Limited,TECH & COMMUNICATION,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
CPHL,16360106532.0,71.83,71.79,72.3,70.7,71.61,-0.22,-0.31,624098.0,Citi Pharma Ltd.,PHARMA,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
ENGROH,312546371722.76,263.83,262.99,262.99,258.5,259.54,-4.29,-1.63,1179779.0,Engro Holdings Limited,INV. BANKS / SECURITIES,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
NML,44836012616.96,128.77,128.77,129.5,127.02,127.52,-1.25,-0.97,518670.0,Nishat Mills Limited,TEXTILE COMPOSITE,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
UBL,1051358332882.5,418.96,417.97,421.49,414.01,419.83,0.87,0.21,1903625.0,United Bank Limited,COMMERCIAL BANKS,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
AICL,34419000000.0,90.99,91.75,98.9,91.0,98.34,7.35,8.08,2459604.0,Adamjee Insurance Company Limited,INSURANCE,2026-09-16T11:00:14+00:00,Closed,"Sep 16, 2026 4:01 PM"
