symbol,ldcp,open,high,low,close,change,percent_change,volume,market_cap,company,sector,downloaded_at_utc
HGFAXD,16.9,17.09,17.09,16.44,16.53,-0.37,-2.19,24713.0,4686255000.0,HGFAXD,Unknown,2026-07-21T11:17:35+00:00
SHFA,525.31,535.0,545.0,525.5,528.75,3.44,0.66,22124.0,33424605011.25,Shifa International Hospitals Limited,MISCELLANEOUS,2026-07-21T11:17:35+00:00
SRVI,2030.06,2030.0,2053.5,2001.0,2041.28,11.22,0.55,20630.0,95914644000.0,Service Industries Limited,LEATHER & TANNERIES,2026-07-21T11:17:35+00:00
HINOON,988.58,999.9,999.9,980.01,988.49,-0.09,-0.01,17909.0,52373529434.32,Highnoon Laboratories Limited,PHARMACEUTICALS,2026-07-21T11:17:35+00:00
PABC,104.06,106.0,107.5,105.0,105.58,1.52,1.46,17210.0,38125809457.32,Pakistan Aluminium Beverage Cans Limited,MISCELLANEOUS,2026-07-21T11:17:35+00:00
HALEON,757.4,759.95,766.85,758.0,761.63,4.23,0.56,16841.0,89152224928.04,Haleon Pakistan Limited,PHARMACEUTICALS,2026-07-21T11:17:35+00:00
BWCL,492.26,498.74,500.0,495.03,497.01,4.75,0.97,16428.0,296343595678.83,Bestway Cement Limited,CEMENT,2026-07-21T11:17:35+00:00
SSOM,467.09,475.0,475.0,458.5,461.56,-5.53,-1.18,13451.0,2611691104.0,S.S.Oil Mills Limited,VANASPATI & ALLIED INDUSTRIES,2026-07-21T11:17:35+00:00
INDU,1937.1,1940.0,1950.0,1917.1,1930.21,-6.89,-0.36,10146.0,151714506000.0,Indus Motor Company Limited,AUTOMOBILE ASSEMBLER,2026-07-21T11:17:35+00:00
ABOT,935.19,935.25,950.0,928.0,930.03,-5.16,-0.55,9645.0,91050217869.06,Abbott Laboratories (Pakistan) Limited,PHARMACEUTICALS,2026-07-21T11:17:35+00:00
BNWM,66.91,67.99,68.99,66.03,66.12,-0.79,-1.18,7810.0,628553250.0,Bannu Woollen Mills Limited,WOOLLEN,2026-07-21T11:17:35+00:00
MUREB,905.53,916.98,916.98,900.0,911.25,5.72,0.63,6197.0,25208483748.75,Murree Brewery Company Limited,FOOD & PERSONAL CARE PRODUCTS,2026-07-21T11:17:35+00:00
GADT,276.3,279.0,280.0,274.02,275.7,-0.6,-0.22,6074.0,7727756033.099999,Gadoon Textile Mills Limited,TEXTILE SPINNING,2026-07-21T11:17:35+00:00
