symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc
CNERGY,81248089575.09,15.01,15.38,15.75,14.68,14.79,-0.22,-1.47,231461057.0,Cnergyico PK Limited,REFINERY,2026-08-18T11:00:14+00:00
KEL,200486310218.69998,7.46,7.5,7.51,7.24,7.26,-0.2,-2.68,24063582.0,K-Electric Limited,POWER GENERATION,2026-08-18T11:00:14+00:00
BOP,110448180209.43999,34.52,34.5,34.98,33.45,33.76,-0.76,-2.2,22545816.0,The Bank of Punjab,COMMERCIAL BANKS,2026-08-18T11:00:14+00:00
MLCF,104138198861.28,101.87,101.45,101.74,98.75,99.41,-2.46,-2.41,12544462.0,Maple Leaf Cement Factory Limited,CEMENT,2026-08-18T11:00:14+00:00
PIBTL,29952775786.44,16.75,16.75,17.3,16.64,16.77,0.02,0.12,33276549.0,Pakistan International Bulk Terminal,TRANSPORT,2026-08-18T11:00:14+00:00
LOTCHEM,40853310256.0,27.54,27.54,27.6,26.85,26.98,-0.56,-2.03,4921948.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-08-18T11:00:14+00:00
TPLRF1,18129800000.0,9.98,9.86,10.07,9.79,9.88,-0.1,-1.0,8252658.0,TPL REIT Fund I,REIT,2026-08-18T11:00:14+00:00
SSGC,25264679742.12,28.5,28.49,30.1,28.15,28.68,0.18,0.63,45472350.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-08-18T11:00:14+00:00
PAEL,38784042546.990005,42.82,42.82,42.82,41.92,41.99,-0.83,-1.94,3217926.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-08-18T11:00:14+00:00
FCCL,137040574181.4,56.88,56.88,56.99,55.49,55.87,-1.01,-1.78,5998212.0,Fauji Cement Company Limited,CEMENT,2026-08-18T11:00:14+00:00
PSX,41500458348.0,52.7,52.56,52.95,51.67,51.78,-0.92,-1.75,2374147.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-08-18T11:00:14+00:00
DGKC,92307312546.93,214.25,213.5,215.8,210.23,210.69,-3.56,-1.66,4345837.0,D.G. Khan Cement Company Limited,CEMENT,2026-08-18T11:00:14+00:00
BAFL,180900839149.30002,57.51,57.5,57.74,57.1,57.35,-0.16,-0.28,1806294.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-08-18T11:00:14+00:00
PPL,634148696736.88,239.04,238.9,239.3,232.0,233.06,-5.98,-2.5,9673687.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-08-18T11:00:14+00:00
HUBC,269665428215.99997,211.85,211.78,211.78,207.07,207.89,-3.96,-1.87,4673581.0,The Hub Power Company Limited,POWER GENERATION,2026-08-18T11:00:14+00:00
PTC,264519660000.0,72.11,72.02,72.02,69.75,70.09,-2.02,-2.8,2333702.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-08-18T11:00:14+00:00
AKBL,150843061464.56,104.8,104.0,105.75,102.5,104.08,-0.72,-0.69,2782401.0,Askari Bank Limited,COMMERCIAL BANKS,2026-08-18T11:00:14+00:00
