symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc
CNERGY,72019097655.81,12.84,12.84,13.25,12.7,13.11,0.27,2.1,67754373.0,Cnergyico PK Limited,REFINERY,2026-08-12T11:00:19+00:00
BOP,112541984573.59999,34.11,34.12,34.8,34.06,34.4,0.29,0.85,18147542.0,The Bank of Punjab,COMMERCIAL BANKS,2026-08-12T11:00:19+00:00
KEL,205180893240.35,7.48,7.4,7.5,7.38,7.43,-0.05,-0.67,11311010.0,K-Electric Limited,POWER GENERATION,2026-08-12T11:00:19+00:00
MLCF,107637057972.0,100.65,100.65,103.47,100.06,102.75,2.1,2.09,14568596.0,Maple Leaf Cement Factory Limited,CEMENT,2026-08-12T11:00:19+00:00
PIBTL,29702722798.359997,16.56,16.6,16.8,16.56,16.63,0.07,0.42,5290879.0,Pakistan International Bulk Terminal,TRANSPORT,2026-08-12T11:00:19+00:00
TPLRF1,18368350000.0,9.93,9.99,10.1,9.9,10.01,0.08,0.81,2289083.0,TPL REIT Fund I,REIT,2026-08-12T11:00:19+00:00
LOTCHEM,41898113224.0,27.99,27.99,28.14,27.6,27.67,-0.32,-1.14,4263992.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-08-12T11:00:19+00:00
SSGC,24145916029.69,26.68,26.75,27.5,26.35,27.41,0.73,2.74,13472578.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-08-12T11:00:19+00:00
PAEL,39809293493.1,43.12,43.13,43.49,42.86,43.1,-0.02,-0.05,2519506.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-08-12T11:00:19+00:00
FCCL,142412309593.2,57.66,58.1,58.33,56.93,58.06,0.4,0.69,10666919.0,Fauji Cement Company Limited,CEMENT,2026-08-12T11:00:19+00:00
PSX,42862968568.0,51.78,51.8,53.9,51.71,53.48,1.7,3.28,7325724.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-08-12T11:00:19+00:00
PTC,267954000000.0,71.65,71.66,72.18,70.22,71.0,-0.65,-0.91,1118112.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-08-12T11:00:19+00:00
DGKC,93608526265.02,213.02,213.0,214.5,210.6,213.66,0.64,0.3,4437372.0,D.G. Khan Cement Company Limited,CEMENT,2026-08-12T11:00:19+00:00
AKBL,153466293029.23,105.56,105.7,107.0,105.0,105.89,0.33,0.31,1152363.0,Askari Bank Limited,COMMERCIAL BANKS,2026-08-12T11:00:19+00:00
BAFL,183455846642.08,58.23,58.1,58.8,57.87,58.16,-0.07,-0.12,1420945.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-08-12T11:00:19+00:00
PPL,624326003888.6,228.84,229.0,232.0,228.25,229.45,0.61,0.27,5112653.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-08-12T11:00:19+00:00
NBP,436267787481.72003,203.75,203.0,207.9,202.61,205.06,1.31,0.64,2637945.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-08-12T11:00:19+00:00
HUBC,276760862784.0,211.43,212.5,216.38,212.5,213.36,1.93,0.91,9484913.0,The Hub Power Company Limited,POWER GENERATION,2026-08-12T11:00:19+00:00
OGDC,1371652085328.0,320.29,320.99,321.5,318.34,318.92,-1.37,-0.43,2423007.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-08-12T11:00:19+00:00
TRG,32881603192.85,59.84,59.99,61.13,59.1,60.29,0.45,0.75,1755262.0,TRG Pakistan Limited,TECH & COMMUNICATION,2026-08-12T11:00:19+00:00
FFL,40899001745.97,16.2,16.2,16.45,16.19,16.23,0.03,0.19,1443000.0,Fauji Foods Limited,FOOD & PERSONAL CARE,2026-08-12T11:00:19+00:00
HBL,496030844105.28,333.71,331.12,343.39,331.12,338.16,4.45,1.33,5151929.0,Habib Bank Limited,COMMERCIAL BANKS,2026-08-12T11:00:19+00:00
SEARL,53304368625.8,90.39,90.04,91.1,90.04,90.62,0.23,0.25,620596.0,The Searle Company Limited,PHARMA,2026-08-12T11:00:19+00:00
AHCL,68357042688.700005,16.24,16.24,16.36,16.18,16.21,-0.03,-0.18,998022.0,Arif Habib Corporation Limited,FERTILIZER,2026-08-12T11:00:19+00:00
PSO,164193591942.0,348.43,348.51,351.5,348.5,349.74,1.31,0.38,992293.0,Pakistan State Oil Company Limited,OIL & GAS MKTNG,2026-08-12T11:00:19+00:00
UBL,1173740920425.0,469.57,469.6,472.99,467.0,468.7,-0.87,-0.18,610384.0,United Bank Limited,COMMERCIAL BANKS,2026-08-12T11:00:19+00:00
