symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc
CNERGY,55483820467.1,9.88,9.8,10.25,9.8,10.1,0.22,2.23,60708062.0,Cnergyico PK Limited,REFINERY,2026-07-23T11:00:37+00:00
KEL,194963271369.69998,7.22,7.25,7.25,7.03,7.06,-0.16,-2.22,17443855.0,K-Electric Limited,POWER GENERATION & DISTRIBUTION,2026-07-23T11:00:37+00:00
BOP,107896356140.62,33.75,33.99,33.99,32.81,32.98,-0.77,-2.28,17570823.0,The Bank of Punjab,COMMERCIAL BANKS,2026-07-23T11:00:37+00:00
MLCF,93044510842.56,92.16,92.0,92.5,88.2,88.82,-3.34,-3.62,12819857.0,Maple Leaf Cement Factory Limited,CEMENT,2026-07-23T11:00:37+00:00
LOTCHEM,44093713664.0,29.31,29.32,29.85,28.8,29.12,-0.19,-0.65,18450320.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-07-23T11:00:37+00:00
PIBTL,28506040641.120003,16.41,16.51,16.65,15.93,15.96,-0.45,-2.74,15831387.0,Pakistan International Bulk Terminal,TRANSPORT,2026-07-23T11:00:37+00:00
TPLRF1,18129800000.0,10.08,10.18,10.28,9.61,9.88,-0.2,-1.98,5976735.0,TPL REIT Fund I,REAL ESTATE INVESTMENT TRUST,2026-07-23T11:00:37+00:00
SSGC,22110999355.9,26.98,27.19,27.28,24.9,25.1,-1.88,-6.97,15062930.0,Sui Southern Gas Company Limited,OIL & GAS MARKETING COMPANIES,2026-07-23T11:00:37+00:00
PAEL,37860393045.990005,42.04,41.11,42.35,40.9,40.99,-1.05,-2.5,3555962.0,Pak Elektron Limited,CABLE & ELECTRICAL GOODS,2026-07-23T11:00:37+00:00
FCCL,125708420025.0,53.09,52.7,53.75,50.91,51.25,-1.84,-3.47,6555564.0,Fauji Cement Company Limited,CEMENT,2026-07-23T11:00:37+00:00
PTC,260707920000.0,69.86,70.0,70.88,69.0,69.08,-0.78,-1.12,1695712.0,Pakistan Telecommunication Company Ltd,TECHNOLOGY & COMMUNICATION,2026-07-23T11:00:37+00:00
PSX,39288382932.0,50.08,50.16,50.45,48.84,49.02,-1.06,-2.12,3310509.0,Pakistan Stock Exchange Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-07-23T11:00:37+00:00
DGKC,86164882806.98999,204.93,203.02,206.1,195.11,196.67,-8.26,-4.03,4158482.0,D.G. Khan Cement Company Limited,CEMENT,2026-07-23T11:00:37+00:00
NBP,420162515116.38,201.61,202.0,202.69,197.1,197.49,-4.12,-2.04,1459271.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-07-23T11:00:37+00:00
AKBL,146364726914.93,104.31,104.45,105.79,100.2,100.99,-3.32,-3.18,2182331.0,Askari Bank Limited,COMMERCIAL BANKS,2026-07-23T11:00:37+00:00
PPL,578640958757.6799,216.84,216.0,219.0,212.0,212.66,-4.18,-1.93,3517317.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION COMPANIES,2026-07-23T11:00:37+00:00
FFL,40773003589.02,16.52,16.61,16.65,16.09,16.18,-0.34,-2.06,1195966.0,Fauji Foods Limited,FOOD & PERSONAL CARE PRODUCTS,2026-07-23T11:00:37+00:00
OGDC,1341674614380.0,316.29,317.04,319.0,310.65,311.95,-4.34,-1.37,2457711.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION COMPANIES,2026-07-23T11:00:37+00:00
TRG,31027274931.85,59.26,60.97,60.97,55.1,56.89,-2.37,-4.0,2946727.0,TRG Pakistan Limited,TECHNOLOGY & COMMUNICATION,2026-07-23T11:00:37+00:00
SNGP,63015767834.4,101.72,102.39,102.83,98.7,99.36,-2.36,-2.32,1149534.0,Sui Northern Gas Pipelines Limited,OIL & GAS MARKETING COMPANIES,2026-07-23T11:00:37+00:00
