symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc
CNERGY,58999626912.54,10.61,10.67,10.92,10.55,10.74,0.13,1.23,50456921.0,Cnergyico PK Limited,REFINERY,2026-07-31T18:03:39+00:00
KEL,198277094679.1,7.19,7.25,7.29,7.12,7.18,-0.01,-0.14,14460521.0,K-Electric Limited,POWER GENERATION,2026-07-31T18:03:39+00:00
BOP,109564856493.31001,33.39,33.8,33.9,33.38,33.49,0.1,0.3,7337381.0,The Bank of Punjab,COMMERCIAL BANKS,2026-07-31T18:03:39+00:00
MLCF,99382264620.96,95.59,96.75,98.15,94.5,94.87,-0.72,-0.75,12857399.0,Maple Leaf Cement Factory Limited,CEMENT,2026-07-31T18:03:39+00:00
PIBTL,30435020834.879997,17.01,17.2,17.44,16.9,17.04,0.03,0.18,21556898.0,Pakistan International Bulk Terminal,TRANSPORT,2026-07-31T18:03:39+00:00
LOTCHEM,40838168184.0,27.13,27.26,27.43,26.9,26.97,-0.16,-0.59,2303644.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-07-31T18:03:39+00:00
SSGC,22269564291.52,25.18,25.38,25.7,25.12,25.28,0.1,0.4,3756810.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-07-31T18:03:39+00:00
TPLRF1,18111450000.0,9.93,9.97,10.0,9.3,9.87,-0.06,-0.6,4036303.0,TPL REIT Fund I,REIT,2026-07-31T18:03:39+00:00
PAEL,39042664407.270004,42.12,42.77,42.95,42.06,42.27,0.15,0.36,2649491.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-07-31T18:03:39+00:00
FCCL,132895262379.6,54.06,54.89,55.2,54.0,54.18,0.12,0.22,4416962.0,Fauji Cement Company Limited,CEMENT,2026-07-31T18:03:39+00:00
PSX,42021418138.0,51.29,51.52,53.91,51.4,52.43,1.14,2.22,13848015.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-07-31T18:03:39+00:00
PTC,271765740000.00003,71.38,72.0,73.21,71.5,72.01,0.63,0.88,5189923.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-07-31T18:03:39+00:00
DGKC,90826469999.07,207.23,210.0,211.5,206.3,207.31,0.08,0.04,4286791.0,D.G. Khan Cement Company Limited,CEMENT,2026-07-31T18:03:39+00:00
AKBL,152524248544.68,103.07,104.0,107.69,102.5,105.24,2.17,2.11,10174654.0,Askari Bank Limited,COMMERCIAL BANKS,2026-07-31T18:03:39+00:00
NBP,426119551129.98,200.26,203.0,203.51,200.0,200.29,0.03,0.02,1813760.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-07-31T18:03:39+00:00
PPL,588300393553.0801,215.15,217.0,217.93,215.65,216.21,1.06,0.49,1577478.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-07-31T18:03:39+00:00
OGDC,1350663554736.0,314.0,316.1,316.85,313.5,314.04,0.04,0.01,1187278.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-07-31T18:03:39+00:00
BAFL,183487389944.46,57.69,58.0,59.25,57.7,58.17,0.48,0.83,8262237.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-07-31T18:03:39+00:00
FFL,40495807643.73,16.07,16.08,16.35,15.98,16.07,0.0,0.0,2264106.0,Fauji Foods Limited,FOOD & PERSONAL CARE,2026-07-31T18:03:39+00:00
SNGP,65254552661.85,100.92,102.4,104.4,100.89,102.89,1.97,1.95,1237141.0,Sui Northern Gas Pipelines Limited,OIL & GAS MKTNG,2026-07-31T18:03:39+00:00
HUBC,281638163328.0,217.22,217.8,219.36,216.51,217.12,-0.1,-0.05,942884.0,The Hub Power Company Limited,POWER GENERATION,2026-07-31T18:03:39+00:00
TRG,33187021965.25,61.8,62.0,62.5,60.5,60.85,-0.95,-1.54,1916218.0,TRG Pakistan Limited,TECH & COMMUNICATION,2026-07-31T18:03:39+00:00
ENGROH,330152243475.04004,271.39,275.0,275.99,272.25,274.16,2.77,1.02,777481.0,Engro Holdings Limited,INV. BANKS / SECURITIES,2026-07-31T18:03:39+00:00
UBL,1165001095777.5,465.96,468.0,470.0,464.5,465.21,-0.75,-0.16,1162621.0,United Bank Limited,COMMERCIAL BANKS,2026-07-31T18:03:39+00:00
SEARL,52816147196.100006,89.68,90.07,91.19,89.61,89.79,0.11,0.12,1541579.0,The Searle Company Limited,PHARMA,2026-07-31T18:03:39+00:00
AHCL,65362995785.0,15.02,15.14,15.64,15.02,15.5,0.48,3.2,3184961.0,Arif Habib Corporation Limited,FERTILIZER,2026-07-31T18:03:39+00:00
YOUW,932427025.0,5.39,5.4,5.5,5.38,5.41,0.02,0.37,708423.0,Yousaf Weaving Mills Limited,TEXTILE WEAVING,2026-07-31T18:03:39+00:00
NML,51368737792.799995,144.61,146.55,148.02,145.13,146.1,1.49,1.03,1527828.0,Nishat Mills Limited,TEXTILE COMPOSITE,2026-07-31T18:03:39+00:00
PSO,158376817755.0,337.07,339.0,340.65,336.0,337.35,0.28,0.08,1566486.0,Pakistan State Oil Company Limited,OIL & GAS MKTNG,2026-07-31T18:03:39+00:00
HBL,445439101104.36005,301.3,304.0,305.4,302.5,303.67,2.37,0.79,433132.0,Habib Bank Limited,COMMERCIAL BANKS,2026-07-31T18:03:39+00:00
POWER,26055672917.49,19.94,20.0,20.3,19.81,20.19,0.25,1.25,1212337.0,Power Cement Limited,CEMENT,2026-07-31T18:03:39+00:00
NPL,23235287370.0,65.85,66.37,66.8,65.5,65.62,-0.23,-0.35,754750.0,Nishat Power Limited,POWER GENERATION,2026-07-31T18:03:39+00:00
LUCK,645933150000.0,437.91,441.11,445.25,440.0,440.91,3.0,0.69,769454.0,Lucky Cement Limited,CEMENT,2026-07-31T18:03:39+00:00
ILP,146927186435.75998,102.35,103.75,105.85,102.36,104.82,2.47,2.41,1648273.0,Interloop Limited,TEXTILE COMPOSITE,2026-07-31T18:03:39+00:00
SYS,192205608545.74997,129.97,130.06,132.25,130.0,130.45,0.48,0.37,766136.0,Systems Limited,TECH & COMMUNICATION,2026-07-31T18:03:39+00:00
HUMNL,12043080000.0,10.43,10.4,10.8,10.4,10.62,0.19,1.82,1017314.0,Hum Network Limited,TECH & COMMUNICATION,2026-07-31T18:03:39+00:00
MEBL,1009967115399.84,558.85,565.0,565.0,557.0,560.92,2.07,0.37,541184.0,Meezan Bank Limited,COMMERCIAL BANKS,2026-07-31T18:03:39+00:00
FFC,813594971869.5599,565.07,566.99,571.0,564.89,565.38,0.31,0.06,1105927.0,Fauji Fertilizer Company Limited,FERTILIZER,2026-07-31T18:03:39+00:00
FATIMA,325563000000.0,155.22,155.1,157.69,154.91,155.03,-0.19,-0.12,270058.0,Fatima Fertilizer Company Limited,FERTILIZER,2026-07-31T18:03:39+00:00
AIRLINK,52926550030.9,133.99,134.0,136.4,133.5,133.9,-0.09,-0.07,563017.0,Air Link Communication Limited,TECH & COMMUNICATION,2026-07-31T18:03:39+00:00
