symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc,market_state,market_state_at_karachi
CNERGY,70371063384.51001,12.81,13.06,13.19,12.71,12.81,0.0,0.0,56228801.0,Cnergyico PK Limited,REFINERY,2026-09-15T11:00:16+00:00,Closed,"Sep 15, 2026 3:59 PM"
BOP,100371746706.92,30.88,31.0,31.2,30.61,30.68,-0.2,-0.65,6283546.0,The Bank of Punjab,COMMERCIAL BANKS,2026-09-15T11:00:16+00:00,Closed,"Sep 15, 2026 3:59 PM"
KEL,182812585901.9,6.6,6.6,6.75,6.55,6.62,0.02,0.3,8843126.0,K-Electric Limited,POWER GENERATION,2026-09-15T11:00:16+00:00,Closed,"Sep 15, 2026 3:59 PM"
PIBTL,26559199519.64,14.81,15.03,15.15,14.75,14.87,0.06,0.41,7931742.0,Pakistan International Bulk Terminal,TRANSPORT,2026-09-15T11:00:16+00:00,Closed,"Sep 15, 2026 3:59 PM"
MLCF,97737591326.4,91.65,92.52,95.0,92.52,93.3,1.65,1.8,3646326.0,Maple Leaf Cement Factory Limited,CEMENT,2026-09-15T11:00:16+00:00,Closed,"Sep 15, 2026 3:59 PM"
SSGC,20763197403.13,23.32,23.5,23.95,23.35,23.57,0.25,1.07,4771494.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-09-15T11:00:16+00:00,Closed,"Sep 15, 2026 3:59 PM"
PPL,598340763805.2001,219.9,222.03,224.48,219.5,219.9,0.0,0.0,2767366.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-09-15T11:00:16+00:00,Closed,"Sep 15, 2026 3:59 PM"
FCCL,129485804743.8,51.37,51.99,52.9,51.66,52.79,1.42,2.76,4693142.0,Fauji Cement Company Limited,CEMENT,2026-09-15T11:00:16+00:00,Closed,"Sep 15, 2026 3:59 PM"
LOTCHEM,37673475136.0,24.72,25.01,25.1,24.68,24.88,0.16,0.65,1311570.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-09-15T11:00:16+00:00,Closed,"Sep 15, 2026 3:59 PM"
TPLRF1,17102200000.0,9.36,9.45,9.5,9.3,9.32,-0.04,-0.43,1652995.0,TPL REIT Fund I,REIT,2026-09-15T11:00:16+00:00,Closed,"Sep 15, 2026 3:59 PM"
PAEL,32632536870.329998,35.04,35.27,35.88,35.15,35.33,0.29,0.83,1649907.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-09-15T11:00:16+00:00,Closed,"Sep 15, 2026 3:59 PM"
HUBC,262946168424.0,201.87,202.05,205.0,202.05,202.71,0.84,0.42,1445702.0,The Hub Power Company Limited,POWER GENERATION,2026-09-15T11:00:16+00:00,Closed,"Sep 15, 2026 3:59 PM"
OGDC,1354233325308.0,315.13,317.0,319.0,314.0,314.87,-0.26,-0.08,1499010.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-09-15T11:00:16+00:00,Closed,"Sep 15, 2026 3:59 PM"
PSO,159860353383.0,340.19,344.0,346.6,340.01,340.51,0.32,0.09,615741.0,Pakistan State Oil Company Limited,OIL & GAS MKTNG,2026-09-15T11:00:16+00:00,Closed,"Sep 15, 2026 3:59 PM"
DGKC,84149534960.79,189.04,197.7,197.7,190.5,192.07,3.03,1.6,2747253.0,D.G. Khan Cement Company Limited,CEMENT,2026-09-15T11:00:16+00:00,Closed,"Sep 15, 2026 3:59 PM"
BAFL,178314288354.14,54.24,54.97,56.75,54.97,56.53,2.29,4.22,2255314.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-09-15T11:00:16+00:00,Closed,"Sep 15, 2026 3:59 PM"
TRG,27493143422.649998,49.2,49.7,51.0,49.45,50.41,1.21,2.46,1464042.0,TRG Pakistan Limited,TECH & COMMUNICATION,2026-09-15T11:00:16+00:00,Closed,"Sep 15, 2026 3:59 PM"
PSX,36899982664.0,45.94,46.4,46.99,45.8,46.04,0.1,0.22,363257.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-09-15T11:00:16+00:00,Closed,"Sep 15, 2026 3:59 PM"
