symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc
CNERGY,60977268038.1,10.74,10.96,11.2,10.83,11.1,0.36,3.35,68958078.0,Cnergyico PK Limited,REFINERY,2026-08-03T11:14:57+00:00
KEL,201590917988.5,7.18,7.31,7.38,7.27,7.3,0.12,1.67,7427472.0,K-Electric Limited,POWER GENERATION,2026-08-03T11:14:57+00:00
BOP,110971631300.48001,33.49,34.05,34.3,33.7,33.92,0.43,1.28,12954962.0,The Bank of Punjab,COMMERCIAL BANKS,2026-08-03T11:14:57+00:00
MLCF,102084976149.6,94.87,99.0,99.43,96.76,97.45,2.58,2.72,16769843.0,Maple Leaf Cement Factory Limited,CEMENT,2026-08-03T11:14:57+00:00
PIBTL,30506464545.76,17.04,17.44,17.44,16.96,17.08,0.04,0.24,11581123.0,Pakistan International Bulk Terminal,TRANSPORT,2026-08-03T11:14:57+00:00
LOTCHEM,41322714488.0,26.97,27.47,27.47,26.91,27.29,0.32,1.19,3318573.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-08-03T11:14:57+00:00
SSGC,22842159892.37,25.28,26.0,26.18,25.65,25.93,0.65,2.57,5949551.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-08-03T11:14:57+00:00
TPLRF1,19304200000.0,9.87,10.1,10.67,10.0,10.52,0.65,6.59,18491636.0,TPL REIT Fund I,REIT,2026-08-03T11:14:57+00:00
PAEL,39273576782.520004,42.27,43.11,43.25,42.4,42.52,0.25,0.59,3695022.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-08-03T11:14:57+00:00
FCCL,137114159598.0,54.18,55.55,56.38,55.3,55.9,1.72,3.18,8098940.0,Fauji Cement Company Limited,CEMENT,2026-08-03T11:14:57+00:00
PSX,42494289332.0,52.43,53.9,54.0,52.76,53.02,0.59,1.13,8047605.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-08-03T11:14:57+00:00
PTC,273577259999.99997,72.01,73.2,73.4,72.0,72.49,0.48,0.67,2605618.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-08-03T11:14:57+00:00
AKBL,155046029164.86002,105.24,107.5,109.0,106.05,106.98,1.74,1.65,4060305.0,Askari Bank Limited,COMMERCIAL BANKS,2026-08-03T11:14:57+00:00
DGKC,94559244705.51001,207.31,215.01,217.0,212.56,215.83,8.52,4.11,7240203.0,D.G. Khan Cement Company Limited,CEMENT,2026-08-03T11:14:57+00:00
NBP,434948729507.27997,200.29,205.99,206.2,203.03,204.44,4.15,2.07,1747062.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-08-03T11:14:57+00:00
BAFL,185064555063.46,58.17,58.94,59.2,58.5,58.67,0.5,0.86,3533573.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-08-03T11:14:57+00:00
PPL,602204537723.36,216.21,221.01,222.98,219.4,221.32,5.11,2.36,3444650.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-08-03T11:14:57+00:00
OGDC,1372383243156.0,314.04,319.9,320.5,317.0,319.09,5.05,1.61,3576712.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-08-03T11:14:57+00:00
FFL,40521007275.119995,16.07,16.35,16.35,16.04,16.08,0.01,0.06,1780704.0,Fauji Foods Limited,FOOD & PERSONAL CARE,2026-08-03T11:14:57+00:00
SNGP,67150860490.2,102.89,105.15,106.55,104.01,105.88,2.99,2.91,2166823.0,Sui Northern Gas Pipelines Limited,OIL & GAS MKTNG,2026-08-03T11:14:57+00:00
TRG,33165206338.65,60.85,61.95,61.98,60.13,60.81,-0.04,-0.07,5102495.0,TRG Pakistan Limited,TECH & COMMUNICATION,2026-08-03T11:14:57+00:00
HUBC,285231281016.0,217.12,221.0,221.5,219.01,219.89,2.77,1.28,3069009.0,The Hub Power Company Limited,POWER GENERATION,2026-08-03T11:14:57+00:00
UBL,1171211630197.5,465.21,471.98,474.74,467.0,467.69,2.48,0.53,1475778.0,United Bank Limited,COMMERCIAL BANKS,2026-08-03T11:14:57+00:00
SEARL,53433776715.6,89.79,91.0,92.0,90.65,90.84,1.05,1.17,1437311.0,The Searle Company Limited,PHARMA,2026-08-03T11:14:57+00:00
AHCL,68441382038.1,15.5,15.7,16.3,15.55,16.23,0.73,4.71,9012322.0,Arif Habib Corporation Limited,FERTILIZER,2026-08-03T11:14:57+00:00
ENGROH,334523605613.26,274.16,277.4,279.25,275.57,277.79,3.63,1.32,832563.0,Engro Holdings Limited,INV. BANKS / SECURITIES,2026-08-03T11:14:57+00:00
NML,52019197511.6,146.1,149.6,150.5,147.16,147.95,1.85,1.27,1077400.0,Nishat Mills Limited,TEXTILE COMPOSITE,2026-08-03T11:14:57+00:00
PSO,163137277017.0,337.35,342.22,351.0,339.56,347.49,10.14,3.01,4337341.0,Pakistan State Oil Company Limited,OIL & GAS MKTNG,2026-08-03T11:14:57+00:00
