symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc,market_state,market_state_at_karachi
CNERGY,71524687374.42,13.92,13.78,13.78,12.93,13.02,-0.9,-6.47,82458351.0,Cnergyico PK Limited,REFINERY,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
BOP,113981475073.96,34.88,35.25,35.44,34.78,34.84,-0.04,-0.11,16737592.0,The Bank of Punjab,COMMERCIAL BANKS,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
KEL,198000942736.65,7.12,7.05,7.3,7.05,7.17,0.05,0.7,9771561.0,K-Electric Limited,POWER GENERATION,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
PIBTL,28916841978.680004,16.5,16.5,16.65,16.1,16.19,-0.31,-1.88,5859231.0,Pakistan International Bulk Terminal,TRANSPORT,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
MLCF,103761076322.4,101.46,101.01,102.25,98.76,99.05,-2.41,-2.37,7310471.0,Maple Leaf Cement Factory Limited,CEMENT,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
SSGC,23617366244.289997,27.45,27.5,27.6,26.75,26.81,-0.64,-2.33,3317100.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
FCCL,131497139464.2,54.48,54.49,54.49,53.45,53.61,-0.87,-1.6,2433100.0,Fauji Cement Company Limited,CEMENT,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
PPL,607401585740.0399,227.29,227.29,228.99,222.01,223.23,-4.06,-1.79,3189585.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
LOTCHEM,39490523776.0,26.71,26.75,26.75,25.98,26.08,-0.63,-2.36,1805878.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
TPLRF1,17854550000.0,9.75,9.8,9.89,9.64,9.73,-0.02,-0.21,2868164.0,TPL REIT Fund I,REIT,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
PAEL,35458904343.39,38.84,38.9,39.0,38.2,38.39,-0.45,-1.16,1762408.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
HUBC,267577009632.0,207.44,206.3,207.65,205.89,206.28,-1.16,-0.56,969370.0,The Hub Power Company Limited,POWER GENERATION,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
DGKC,89056468847.19,206.53,206.94,207.02,202.69,203.27,-3.26,-1.58,1748558.0,D.G. Khan Cement Company Limited,CEMENT,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
PSO,168883630209.0,360.7,359.0,362.3,358.0,359.73,-0.97,-0.27,849880.0,Pakistan State Oil Company Limited,OIL & GAS MKTNG,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
PSX,38887644632.0,49.37,49.37,49.64,48.38,48.52,-0.85,-1.72,1118955.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
OGDC,1379135700744.0,328.8,328.44,328.7,320.25,320.66,-8.14,-2.48,2979650.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
TRG,29767422495.7,54.61,54.98,55.16,54.37,54.58,-0.03,-0.05,1181149.0,TRG Pakistan Limited,TECH & COMMUNICATION,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
BAFL,177367989282.74,56.24,56.3,56.53,56.05,56.23,-0.01,-0.02,1571232.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
AKBL,159901181508.31,108.66,108.66,110.97,107.5,110.33,1.67,1.54,2775641.0,Askari Bank Limited,COMMERCIAL BANKS,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
PTC,247800840000.0,67.32,67.7,67.7,65.25,65.66,-1.66,-2.47,1105776.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
FFL,37799447085.0,15.29,15.29,15.3,14.91,15.0,-0.29,-1.9,2672549.0,Fauji Foods Limited,FOOD & PERSONAL CARE,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
NBP,391568742251.10004,186.77,187.2,187.2,183.7,184.05,-2.72,-1.46,801180.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
SNGP,62159575336.65,99.65,99.75,99.97,97.76,98.01,-1.64,-1.65,583947.0,Sui Northern Gas Pipelines Limited,OIL & GAS MKTNG,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
AHCL,66670255700.700005,15.85,15.86,16.05,15.8,15.81,-0.04,-0.25,874147.0,Arif Habib Corporation Limited,FERTILIZER,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
NPL,22881198870.0,65.71,65.01,65.69,64.21,64.62,-1.09,-1.66,810454.0,Nishat Power Limited,POWER GENERATION,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
HBL,457320606419.16,313.68,313.5,314.0,310.88,311.77,-1.91,-0.61,340023.0,Habib Bank Limited,COMMERCIAL BANKS,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
POWER,28817393573.429996,22.49,22.2,22.5,22.0,22.33,-0.16,-0.71,968518.0,Power Cement Limited,CEMENT,2026-09-07T11:00:16+00:00,Closed,"Sep 7, 2026 3:59 PM"
