symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc
CNERGY,72128966607.23001,11.94,12.3,13.13,12.3,13.13,1.19,9.97,173553167.0,Cnergyico PK Limited,REFINERY,2026-08-10T11:10:10+00:00
KEL,206561652952.6,7.32,7.35,7.51,7.35,7.48,0.16,2.19,19498071.0,K-Electric Limited,POWER GENERATION,2026-08-10T11:10:10+00:00
BOP,115420965574.32,36.46,36.45,36.6,34.8,35.28,-1.18,-3.24,61614086.0,The Bank of Punjab,COMMERCIAL BANKS,2026-08-10T11:10:10+00:00
PIBTL,29792027436.96,16.84,16.89,16.95,16.65,16.68,-0.16,-0.95,9254454.0,Pakistan International Bulk Terminal,TRANSPORT,2026-08-10T11:10:10+00:00
MLCF,107877997371.84001,102.07,103.0,105.15,102.5,102.98,0.91,0.89,24143152.0,Maple Leaf Cement Factory Limited,CEMENT,2026-08-10T11:10:10+00:00
TPLRF1,18460100000.0,10.16,10.2,10.44,9.95,10.06,-0.1,-0.98,5916137.0,TPL REIT Fund I,REIT,2026-08-10T11:10:10+00:00
LOTCHEM,42019249800.0,27.14,27.3,27.9,26.8,27.75,0.61,2.25,9148156.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-08-10T11:10:10+00:00
SSGC,23881641136.989998,27.28,27.4,27.49,26.76,27.11,-0.17,-0.62,4719151.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-08-10T11:10:10+00:00
PAEL,40548213093.9,43.88,44.4,44.4,43.3,43.9,0.02,0.05,5494567.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-08-10T11:10:10+00:00
FCCL,142191553343.4,57.36,57.99,58.8,57.5,57.97,0.61,1.06,14507652.0,Fauji Cement Company Limited,CEMENT,2026-08-10T11:10:10+00:00
PSX,41973329542.0,52.78,53.0,53.4,52.0,52.37,-0.41,-0.78,2335371.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-08-10T11:10:10+00:00
PTC,272294100000.00003,72.41,72.5,73.2,71.92,72.15,-0.26,-0.36,1222643.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-08-10T11:10:10+00:00
AKBL,154814141291.74,107.21,107.44,108.7,106.5,106.82,-0.39,-0.36,2715955.0,Askari Bank Limited,COMMERCIAL BANKS,2026-08-10T11:10:10+00:00
DGKC,95076225239.97,218.03,219.0,221.5,216.5,217.01,-1.02,-0.47,4070281.0,D.G. Khan Cement Company Limited,CEMENT,2026-08-10T11:10:10+00:00
BAFL,188755121441.92,59.02,59.2,59.98,59.0,59.84,0.82,1.39,2817855.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-08-10T11:10:10+00:00
NBP,438352750086.48,206.35,206.99,207.9,205.01,206.04,-0.31,-0.15,1228689.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-08-10T11:10:10+00:00
PPL,624380423239.5599,221.55,222.11,230.3,221.56,229.47,7.92,3.57,10002045.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-08-10T11:10:10+00:00
OGDC,1392554597352.0,319.19,320.12,324.71,320.01,323.78,4.59,1.44,6152531.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-08-10T11:10:10+00:00
FFL,41377794742.380005,16.58,16.58,16.69,16.4,16.42,-0.16,-0.97,2560388.0,Fauji Foods Limited,FOOD & PERSONAL CARE,2026-08-10T11:10:10+00:00
TRG,33339731351.45,63.29,63.4,63.41,60.64,61.13,-2.16,-3.41,2815416.0,TRG Pakistan Limited,TECH & COMMUNICATION,2026-08-10T11:10:10+00:00
HUBC,276838692048.0,225.64,226.0,227.9,212.5,213.42,-12.22,-5.42,30960851.0,The Hub Power Company Limited,POWER GENERATION,2026-08-10T11:10:10+00:00
UBL,1184909865390.0,475.74,476.11,479.0,470.0,473.16,-2.58,-0.54,991794.0,United Bank Limited,COMMERCIAL BANKS,2026-08-10T11:10:10+00:00
SEARL,53757296940.1,91.26,91.5,92.52,91.0,91.39,0.13,0.14,1077900.0,The Searle Company Limited,PHARMA,2026-08-10T11:10:10+00:00
HBL,478501956634.68,324.62,325.01,327.48,321.7,326.21,1.59,0.49,1674449.0,Habib Bank Limited,COMMERCIAL BANKS,2026-08-10T11:10:10+00:00
AHCL,68989587809.2,16.23,16.26,16.48,16.23,16.36,0.13,0.8,2364122.0,Arif Habib Corporation Limited,FERTILIZER,2026-08-10T11:10:10+00:00
PSO,165925948419.0,350.67,352.0,354.25,350.0,353.43,2.76,0.79,1928818.0,Pakistan State Oil Company Limited,OIL & GAS MKTNG,2026-08-10T11:10:10+00:00
SNGP,65742899493.9,103.79,104.49,104.71,103.01,103.66,-0.13,-0.12,1060388.0,Sui Northern Gas Pipelines Limited,OIL & GAS MKTNG,2026-08-10T11:10:10+00:00
NML,53193541003.92,153.79,154.25,154.3,151.0,151.29,-2.5,-1.63,1715718.0,Nishat Mills Limited,TEXTILE COMPOSITE,2026-08-10T11:10:10+00:00
NPL,25242969165.000004,71.98,72.99,73.0,70.21,71.29,-0.69,-0.96,2740266.0,Nishat Power Limited,POWER GENERATION,2026-08-10T11:10:10+00:00
YOUW,934150550.0,5.37,5.4,5.58,5.38,5.42,0.05,0.93,847286.0,Yousaf Weaving Mills Limited,TEXTILE WEAVING,2026-08-10T11:10:10+00:00
ENGROH,339268279669.62,279.61,279.69,284.45,278.05,281.73,2.12,0.76,1551012.0,Engro Holdings Limited,INV. BANKS / SECURITIES,2026-08-10T11:10:10+00:00
LUCK,665637400000.0,458.75,462.8,462.8,452.99,454.36,-4.39,-0.96,2057991.0,Lucky Cement Limited,CEMENT,2026-08-10T11:10:10+00:00
SYS,199940981829.49997,136.52,137.0,137.4,135.2,135.7,-0.82,-0.6,909047.0,Systems Limited,TECH & COMMUNICATION,2026-08-10T11:10:10+00:00
POWER,29991770114.039997,23.47,23.51,23.9,23.01,23.24,-0.23,-0.98,2019940.0,Power Cement Limited,CEMENT,2026-08-10T11:10:10+00:00
FFC,810903998369.62,568.98,570.0,570.01,563.0,563.51,-5.47,-0.96,937927.0,Fauji Fertilizer Company Limited,FERTILIZER,2026-08-10T11:10:10+00:00
