symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc,market_state,market_state_at_karachi
CNERGY,78611234741.01001,13.2,13.3,14.48,13.25,14.31,1.11,8.41,150274539.0,Cnergyico PK Limited,REFINERY,2026-09-23T11:00:18+00:00,Closed,"Sep 23, 2026 4:01 PM"
BOP,100829766411.58,30.77,30.85,31.15,30.75,30.82,0.05,0.16,6160129.0,The Bank of Punjab,COMMERCIAL BANKS,2026-09-23T11:00:18+00:00,Closed,"Sep 23, 2026 4:01 PM"
KEL,180327218419.85,6.72,6.51,6.74,6.5,6.53,-0.19,-2.83,28837343.0,K-Electric Limited,POWER GENERATION,2026-09-23T11:00:18+00:00,Closed,"Sep 23, 2026 4:01 PM"
PIBTL,28166683014.44,16.03,16.19,16.2,15.71,15.77,-0.26,-1.62,9035469.0,Pakistan International Bulk Terminal,TRANSPORT,2026-09-23T11:00:18+00:00,Closed,"Sep 23, 2026 4:01 PM"
MLCF,100639339750.56,96.19,97.54,97.54,95.55,96.07,-0.12,-0.12,7923913.0,Maple Leaf Cement Factory Limited,CEMENT,2026-09-23T11:00:18+00:00,Closed,"Sep 23, 2026 4:01 PM"
SSGC,21547212918.14,23.63,23.95,24.85,23.71,24.46,0.83,3.51,14930545.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-09-23T11:00:18+00:00,Closed,"Sep 23, 2026 4:01 PM"
PPL,633522874200.8401,230.51,232.38,233.49,231.26,232.83,2.32,1.01,2745218.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-09-23T11:00:18+00:00,Closed,"Sep 23, 2026 4:01 PM"
LOTCHEM,38915125040.0,25.61,25.65,25.88,25.6,25.7,0.09,0.35,2233429.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-09-23T11:00:18+00:00,Closed,"Sep 23, 2026 4:01 PM"
FCCL,133459417240.2,54.06,54.4,55.08,54.1,54.41,0.35,0.65,2746506.0,Fauji Cement Company Limited,CEMENT,2026-09-23T11:00:18+00:00,Closed,"Sep 23, 2026 4:01 PM"
HUBC,266643058464.0,204.51,205.9,206.05,204.0,205.56,1.05,0.51,1329641.0,The Hub Power Company Limited,POWER GENERATION,2026-09-23T11:00:18+00:00,Closed,"Sep 23, 2026 4:01 PM"
PAEL,34202741022.030003,36.83,37.4,37.4,36.7,37.03,0.2,0.54,4402265.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-09-23T11:00:18+00:00,Closed,"Sep 23, 2026 4:01 PM"
OGDC,1374275651652.0,318.41,318.9,320.3,318.63,319.53,1.12,0.35,1712061.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-09-23T11:00:18+00:00,Closed,"Sep 23, 2026 4:01 PM"
DGKC,87610675827.09,200.22,202.25,203.4,199.05,199.97,-0.25,-0.12,2949435.0,D.G. Khan Cement Company Limited,CEMENT,2026-09-23T11:00:18+00:00,Closed,"Sep 23, 2026 4:01 PM"
PSO,165508117182.0,348.83,351.0,354.0,349.0,352.54,3.71,1.06,1000350.0,Pakistan State Oil Company Limited,OIL & GAS MKTNG,2026-09-23T11:00:18+00:00,Closed,"Sep 23, 2026 4:01 PM"
NBP,362889868871.33997,171.08,171.1,173.25,170.01,170.57,-0.51,-0.3,1699829.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-09-23T11:00:18+00:00,Closed,"Sep 23, 2026 4:01 PM"
TPLRF1,16973750000.0,9.3,9.21,9.5,9.2,9.25,-0.05,-0.54,564359.0,TPL REIT Fund I,REIT,2026-09-23T11:00:18+00:00,Closed,"Sep 23, 2026 4:01 PM"
TRG,28611194285.9,51.34,51.5,52.7,51.34,52.46,1.12,2.18,2409341.0,TRG Pakistan Limited,TECH & COMMUNICATION,2026-09-23T11:00:18+00:00,Closed,"Sep 23, 2026 4:01 PM"
