symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc
CNERGY,72458573461.48999,14.01,13.81,13.95,12.91,13.19,-0.82,-5.85,221431066.0,Cnergyico PK Limited,REFINERY,2026-08-20T11:00:15+00:00
KEL,197448638851.75,7.18,7.25,7.3,7.1,7.15,-0.03,-0.42,18484690.0,K-Electric Limited,POWER GENERATION,2026-08-20T11:00:15+00:00
BOP,109793866345.64001,33.57,33.6,33.94,33.4,33.56,-0.01,-0.03,7259303.0,The Bank of Punjab,COMMERCIAL BANKS,2026-08-20T11:00:15+00:00
MLCF,101613572976.0,98.13,99.25,99.45,96.6,97.0,-1.13,-1.15,4203886.0,Maple Leaf Cement Factory Limited,CEMENT,2026-08-20T11:00:15+00:00
PIBTL,29166894966.76,16.43,16.45,16.7,16.2,16.33,-0.1,-0.61,6087361.0,Pakistan International Bulk Terminal,TRANSPORT,2026-08-20T11:00:15+00:00
LOTCHEM,40898736472.0,27.04,27.07,27.2,26.77,27.01,-0.03,-0.11,3641208.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-08-20T11:00:15+00:00
SSGC,24366145106.94,28.49,28.89,28.89,27.5,27.66,-0.83,-2.91,5401944.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-08-20T11:00:15+00:00
TPLRF1,17817850000.0,9.86,9.8,9.95,9.65,9.71,-0.15,-1.52,1709262.0,TPL REIT Fund I,REIT,2026-08-20T11:00:15+00:00
FCCL,135863207515.8,55.74,56.0,56.31,55.12,55.39,-0.35,-0.63,3472906.0,Fauji Cement Company Limited,CEMENT,2026-08-20T11:00:15+00:00
PAEL,37629480670.740005,41.03,41.25,41.55,40.59,40.74,-0.29,-0.71,3752272.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-08-20T11:00:15+00:00
PSX,40642878386.0,51.0,51.2,51.5,50.4,50.71,-0.29,-0.57,1136737.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-08-20T11:00:15+00:00
PPL,647290969993.72,236.47,237.5,242.5,234.0,237.89,1.42,0.6,9734100.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-08-20T11:00:15+00:00
DGKC,92723525689.07999,213.69,216.0,217.24,210.73,211.64,-2.05,-0.96,2936266.0,D.G. Khan Cement Company Limited,CEMENT,2026-08-20T11:00:15+00:00
HUBC,265151330904.0,206.92,207.55,209.5,203.9,204.41,-2.51,-1.21,4032519.0,The Hub Power Company Limited,POWER GENERATION,2026-08-20T11:00:15+00:00
BAFL,179008241006.5,56.75,57.03,57.03,56.3,56.75,0.0,0.0,2319090.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-08-20T11:00:15+00:00
PTC,266067000000.0,71.6,71.8,72.25,70.0,70.5,-1.1,-1.54,2210445.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-08-20T11:00:15+00:00
PSO,174587730804.0,375.85,375.0,378.8,370.01,371.88,-3.97,-1.06,2360703.0,Pakistan State Oil Company Limited,OIL & GAS MKTNG,2026-08-20T11:00:15+00:00
AKBL,151538725083.92,105.1,103.72,106.0,103.72,104.56,-0.54,-0.51,1176883.0,Askari Bank Limited,COMMERCIAL BANKS,2026-08-20T11:00:15+00:00
OGDC,1373974586664.0,314.34,315.1,323.5,315.1,319.46,5.12,1.63,8218835.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-08-20T11:00:15+00:00
NBP,434565777192.12,203.49,204.7,206.9,203.3,204.26,0.77,0.38,1198786.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-08-20T11:00:15+00:00
AHCL,68230533664.6,16.43,16.31,16.59,16.09,16.18,-0.25,-1.52,1454086.0,Arif Habib Corporation Limited,FERTILIZER,2026-08-20T11:00:15+00:00
SNGP,64664731163.399994,102.36,102.51,103.78,101.5,101.96,-0.4,-0.39,1388766.0,Sui Northern Gas Pipelines Limited,OIL & GAS MKTNG,2026-08-20T11:00:15+00:00
FFL,40672205063.46,16.08,16.08,16.29,16.01,16.14,0.06,0.37,2051641.0,Fauji Foods Limited,FOOD & PERSONAL CARE,2026-08-20T11:00:15+00:00
NPL,23893891980.0,68.23,68.91,68.91,67.2,67.48,-0.75,-1.1,1081327.0,Nishat Power Limited,POWER GENERATION,2026-08-20T11:00:15+00:00
TRG,33765136070.149998,59.97,60.47,62.34,59.8,61.91,1.94,3.24,12645319.0,TRG Pakistan Limited,TECH & COMMUNICATION,2026-08-20T11:00:15+00:00
HBL,465197604387.12,320.36,320.36,324.0,315.75,317.14,-3.22,-1.0,584457.0,Habib Bank Limited,COMMERCIAL BANKS,2026-08-20T11:00:15+00:00
NML,50472158180.4,145.44,146.11,147.02,142.4,143.55,-1.89,-1.3,1449272.0,Nishat Mills Limited,TEXTILE COMPOSITE,2026-08-20T11:00:15+00:00
YOUW,892785950.0,5.17,5.25,5.25,5.12,5.18,0.01,0.19,323452.0,Yousaf Weaving Mills Limited,TEXTILE WEAVING,2026-08-20T11:00:15+00:00
UBL,1121727694657.5,453.66,454.0,457.9,443.75,447.93,-5.73,-1.26,1393525.0,United Bank Limited,COMMERCIAL BANKS,2026-08-20T11:00:15+00:00
SEARL,52086756144.5,88.61,88.7,89.7,88.35,88.55,-0.06,-0.07,1092531.0,The Searle Company Limited,PHARMA,2026-08-20T11:00:15+00:00
LUCK,639706900000.0,437.2,440.9,442.45,435.11,436.66,-0.54,-0.12,492042.0,Lucky Cement Limited,CEMENT,2026-08-20T11:00:15+00:00
ENGROH,323227909509.54004,265.01,266.0,270.0,266.0,268.41,3.4,1.28,1866806.0,Engro Holdings Limited,INV. BANKS / SECURITIES,2026-08-20T11:00:15+00:00
POWER,28146321264.51,21.79,21.99,22.18,21.5,21.81,0.02,0.09,752259.0,Power Cement Limited,CEMENT,2026-08-20T11:00:15+00:00
