symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc,market_state,market_state_at_karachi
CNERGY,72568442412.91,12.92,12.96,13.29,12.81,13.21,0.29,2.25,59517163.0,Cnergyico PK Limited,REFINERY,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
BOP,101320501809.43,31.19,31.75,31.75,30.9,30.97,-0.22,-0.7,8749184.0,The Bank of Punjab,COMMERCIAL BANKS,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
KEL,186126409211.30002,6.82,6.8,6.85,6.7,6.74,-0.08,-1.17,6327172.0,K-Electric Limited,POWER GENERATION,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
MLCF,99287983986.24,94.76,95.94,96.44,94.23,94.78,0.02,0.02,8880076.0,Maple Leaf Cement Factory Limited,CEMENT,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
PIBTL,28506040641.120003,15.49,15.59,16.24,15.5,15.96,0.47,3.03,21331749.0,Pakistan International Bulk Terminal,TRANSPORT,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
SSGC,20974617317.289997,23.88,24.11,24.3,23.75,23.81,-0.07,-0.29,3181762.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
PPL,621441778287.72,228.8,230.01,231.5,228.0,228.39,-0.41,-0.18,2647012.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
FCCL,129902788771.2,52.85,53.5,53.8,52.9,52.96,0.11,0.21,3431437.0,Fauji Cement Company Limited,CEMENT,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
LOTCHEM,37976316576.0,25.13,25.45,25.45,24.95,25.08,-0.05,-0.2,1250244.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
PAEL,33759389261.55,36.84,37.1,37.4,36.4,36.55,-0.29,-0.79,5749293.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
HUBC,263996863488.0,203.8,205.0,206.66,203.05,203.52,-0.28,-0.14,1143816.0,The Hub Power Company Limited,POWER GENERATION,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
OGDC,1365501757716.0,318.06,319.0,319.9,317.0,317.49,-0.57,-0.18,1591013.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
PSO,164118476214.0,345.64,347.49,351.4,344.55,349.58,3.94,1.14,1115953.0,Pakistan State Oil Company Limited,OIL & GAS MKTNG,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
DGKC,85989635168.19,196.08,197.99,198.75,195.11,196.27,0.19,0.1,4143869.0,D.G. Khan Cement Company Limited,CEMENT,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
NBP,361911212954.82,170.55,171.99,171.99,169.39,170.11,-0.44,-0.26,1035078.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
TPLRF1,17065500000.000002,9.34,9.54,9.54,9.25,9.3,-0.04,-0.43,706852.0,TPL REIT Fund I,REIT,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
TRG,27814923915.0,50.69,51.0,51.48,50.1,51.0,0.31,0.61,1978523.0,TRG Pakistan Limited,TECH & COMMUNICATION,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
BAFL,181121642265.96,57.15,57.33,57.55,56.7,57.42,0.27,0.47,1179802.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
NPL,22774972319.999996,64.37,65.1,66.0,64.12,64.32,-0.05,-0.08,1688228.0,Nishat Power Limited,POWER GENERATION,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
SNGP,57656637015.15,91.59,92.24,92.24,90.52,90.91,-0.68,-0.74,512258.0,Sui Northern Gas Pipelines Limited,OIL & GAS MKTNG,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
AKBL,155669227823.87,107.7,108.54,108.88,107.1,107.41,-0.29,-0.27,1107688.0,Askari Bank Limited,COMMERCIAL BANKS,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
PTC,237346860000.0,62.8,63.8,63.8,62.67,62.89,0.09,0.14,306676.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
FFL,37093857406.08,14.78,14.8,14.98,14.69,14.72,-0.06,-0.41,1642131.0,Fauji Foods Limited,FOOD & PERSONAL CARE,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
PSX,37188514240.0,45.43,45.6,46.75,45.2,46.4,0.97,2.14,678739.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
AHCL,63676208797.0,15.1,15.12,15.3,15.01,15.1,0.0,0.0,278837.0,Arif Habib Corporation Limited,FERTILIZER,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
SYS,178458745167.2,121.95,121.0,122.51,120.8,121.12,-0.83,-0.68,1356448.0,Systems Limited,TECH & COMMUNICATION,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
HBL,445820482756.44,303.04,303.8,306.4,301.52,303.93,0.89,0.29,2250249.0,Habib Bank Limited,COMMERCIAL BANKS,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
HUMNL,11260620000.0,9.93,9.71,10.1,9.71,9.93,0.0,0.0,546026.0,Hum Network Limited,TECH & COMMUNICATION,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
SEARL,47128073430.8,79.69,80.2,80.85,79.75,80.12,0.43,0.54,881649.0,The Searle Company Limited,PHARMA,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
CPHL,17358481976.0,75.38,75.99,76.27,75.0,75.98,0.6,0.8,954901.0,Citi Pharma Ltd.,PHARMA,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
POWER,29036782597.5,22.76,22.79,23.0,22.3,22.5,-0.26,-1.14,527173.0,Power Cement Limited,CEMENT,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
ENGROH,317110410980.01996,263.02,263.16,265.5,262.66,263.33,0.31,0.12,1292500.0,Engro Holdings Limited,INV. BANKS / SECURITIES,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
NML,46530723884.32,133.29,134.26,134.79,132.0,132.34,-0.95,-0.71,295157.0,Nishat Mills Limited,TEXTILE COMPOSITE,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
AICL,34279000000.0,97.99,98.0,98.45,97.0,97.94,-0.05,-0.05,176530.0,Adamjee Insurance Company Limited,INSURANCE,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
UBL,1073345628127.5,429.5,432.8,433.0,427.7,428.61,-0.89,-0.21,902028.0,United Bank Limited,COMMERCIAL BANKS,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
YOUW,903127100.0,4.98,5.0,5.29,4.91,5.24,0.26,5.22,2970287.0,Yousaf Weaving Mills Limited,TEXTILE WEAVING,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
LUCK,617819800000.0,416.0,416.55,424.0,415.98,421.72,5.72,1.38,1007436.0,Lucky Cement Limited,CEMENT,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
ATRL,120546729225.00002,1095.15,1095.15,1145.0,1089.5,1130.66,35.51,3.24,503760.0,Attock Refinery Limited,REFINERY,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
MEBL,995674000919.04,552.75,553.0,554.7,549.05,550.98,-1.77,-0.32,420908.0,Meezan Bank Limited,COMMERCIAL BANKS,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
EFERT,253506586343.75,188.22,188.0,190.1,188.0,189.85,1.63,0.87,352719.0,Engro Fertilizers Limited,FERTILIZER,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
KAPCO,23432340929.36,26.51,26.35,26.8,26.35,26.62,0.11,0.42,330334.0,Kot Addu Power Company Limited,POWER GENERATION,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
FATIMA,312396000000.0,147.28,148.45,149.34,147.0,148.76,1.48,1.01,214442.0,Fatima Fertilizer Company Limited,FERTILIZER,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
ILP,140170946800.0,98.46,99.0,100.25,97.7,100.0,1.54,1.56,616448.0,Interloop Limited,TEXTILE COMPOSITE,2026-09-21T11:08:15+00:00,Closed,"Sep 21, 2026 4:09 PM"
