symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc,market_state,market_state_at_karachi
CNERGY,71744425277.26001,13.32,13.4,13.53,12.97,13.06,-0.26,-1.95,65824954.0,Cnergyico PK Limited,REFINERY,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
BOP,111985817789.37,34.63,34.9,35.03,34.15,34.23,-0.4,-1.15,19436730.0,The Bank of Punjab,COMMERCIAL BANKS,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
KEL,194134815542.35,7.08,7.1,7.13,7.01,7.03,-0.05,-0.71,5711781.0,K-Electric Limited,POWER GENERATION,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
PIBTL,28702510846.04,16.29,16.1,16.3,16.04,16.07,-0.22,-1.35,5015206.0,Pakistan International Bulk Terminal,TRANSPORT,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
MLCF,102263061792.96,98.68,97.06,99.0,97.06,97.62,-1.06,-1.07,2382145.0,Maple Leaf Cement Factory Limited,CEMENT,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
SSGC,22516220858.039997,26.13,25.9,26.49,25.43,25.56,-0.57,-2.18,2678144.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
FCCL,129093349188.6,53.63,53.6,53.82,52.5,52.63,-1.0,-1.86,3407490.0,Fauji Cement Company Limited,CEMENT,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
PPL,598367973480.6799,221.37,222.98,222.98,219.4,219.91,-1.46,-0.66,2711846.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
LOTCHEM,39641944496.0,26.08,26.12,26.39,26.08,26.18,0.1,0.38,1677135.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
TPLRF1,17487550000.0,9.61,9.55,9.69,9.46,9.53,-0.08,-0.83,750277.0,TPL REIT Fund I,REIT,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
PAEL,34304342467.14,37.81,37.81,37.91,37.05,37.14,-0.67,-1.77,1786449.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
HUBC,267278664120.0,205.93,206.01,208.69,205.5,206.05,0.12,0.06,1860548.0,The Hub Power Company Limited,POWER GENERATION,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
DGKC,86765105969.87999,200.54,200.54,201.99,197.25,198.04,-2.5,-1.25,1044938.0,D.G. Khan Cement Company Limited,CEMENT,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
PSO,165625485507.0,355.15,355.65,356.39,352.0,352.79,-2.36,-0.66,556786.0,Pakistan State Oil Company Limited,OIL & GAS MKTNG,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
OGDC,1385673111912.0,321.04,321.3,324.47,320.01,322.18,1.14,0.36,1800494.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
PSX,38438817736.0,47.31,47.25,48.3,46.9,47.96,0.65,1.37,2411062.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
BAFL,175696194256.6,55.85,56.22,56.22,55.61,55.7,-0.15,-0.27,628613.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
TRG,28185789567.2,52.1,52.75,53.18,51.5,51.68,-0.42,-0.81,2225575.0,TRG Pakistan Limited,TECH & COMMUNICATION,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
AKBL,156886639157.75,109.11,109.03,109.7,107.74,108.25,-0.86,-0.79,293026.0,Askari Bank Limited,COMMERCIAL BANKS,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
PTC,246593160000.0,65.63,65.98,66.25,64.86,65.34,-0.29,-0.44,1350846.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
FFL,37799447085.0,14.83,14.76,15.3,14.75,15.0,0.17,1.15,1650052.0,Fauji Foods Limited,FOOD & PERSONAL CARE,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
SNGP,60472559007.75,96.93,96.89,97.46,95.05,95.35,-1.58,-1.63,784330.0,Sui Northern Gas Pipelines Limited,OIL & GAS MKTNG,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
AHCL,64856959688.600006,15.53,15.65,15.76,15.29,15.38,-0.15,-0.97,1048713.0,Arif Habib Corporation Limited,FERTILIZER,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
NBP,386335060610.58,181.42,181.52,183.6,179.6,181.59,0.17,0.09,4414842.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
NPL,23320268610.0,63.56,64.0,69.0,63.41,65.86,2.3,3.62,6454129.0,Nishat Power Limited,POWER GENERATION,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
HBL,452538667243.08,310.49,311.0,311.92,307.55,308.51,-1.98,-0.64,304627.0,Habib Bank Limited,COMMERCIAL BANKS,2026-09-09T11:00:15+00:00,Closed,"Sep 9, 2026 3:59 PM"
