symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc
CNERGY,65591763997.74,11.25,11.32,12.24,11.24,11.94,0.69,6.13,161177862.0,Cnergyico PK Limited,REFINERY,2026-08-07T12:00:20+00:00
KEL,202143221873.4,7.42,7.36,7.4,7.28,7.32,-0.1,-1.35,10787735.0,K-Electric Limited,POWER GENERATION,2026-08-07T12:00:20+00:00
BOP,119281417370.74,36.0,35.95,36.85,35.66,36.46,0.46,1.28,52334090.0,The Bank of Punjab,COMMERCIAL BANKS,2026-08-07T12:00:20+00:00
PIBTL,30077802280.48,16.9,16.96,16.96,16.72,16.84,-0.06,-0.36,5459705.0,Pakistan International Bulk Terminal,TRANSPORT,2026-08-07T12:00:20+00:00
MLCF,106924715398.56,103.09,102.0,102.6,100.96,102.07,-1.02,-0.99,12492335.0,Maple Leaf Cement Factory Limited,CEMENT,2026-08-07T12:00:20+00:00
TPLRF1,18643600000.0,10.19,10.2,10.25,10.05,10.16,-0.03,-0.29,1434891.0,TPL REIT Fund I,REIT,2026-08-07T12:00:20+00:00
LOTCHEM,41095583408.0,27.2,27.14,27.5,27.0,27.14,-0.06,-0.22,1976369.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-08-07T12:00:20+00:00
SSGC,24031396909.52,27.25,27.21,27.39,26.96,27.28,0.03,0.11,6859588.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-08-07T12:00:20+00:00
PAEL,40529740103.880005,44.38,44.79,44.79,43.25,43.88,-0.5,-1.13,7714715.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-08-07T12:00:20+00:00
FCCL,140695316539.2,56.88,56.83,57.5,56.2,57.36,0.48,0.84,7737180.0,Fauji Cement Company Limited,CEMENT,2026-08-07T12:00:20+00:00
PSX,42301934948.0,52.42,52.5,53.9,52.0,52.78,0.36,0.69,8652178.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-08-07T12:00:20+00:00
PTC,273275340000.0,73.16,73.38,74.05,71.71,72.41,-0.75,-1.03,3962747.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-08-07T12:00:20+00:00
AKBL,155379367982.47,108.08,107.89,109.2,106.0,107.21,-0.87,-0.8,2691327.0,Askari Bank Limited,COMMERCIAL BANKS,2026-08-07T12:00:20+00:00
DGKC,95523106718.91,220.19,219.45,219.45,216.12,218.03,-2.16,-0.98,2396791.0,D.G. Khan Cement Company Limited,CEMENT,2026-08-07T12:00:20+00:00
BAFL,186168570646.76,59.16,59.16,59.5,58.9,59.02,-0.14,-0.24,3284944.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-08-07T12:00:20+00:00
NBP,439012279073.7,207.63,206.66,207.45,205.0,206.35,-1.28,-0.62,808432.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-08-07T12:00:20+00:00
