symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc,market_state,market_state_at_karachi
CNERGY,73996738781.37001,14.31,14.45,14.56,13.12,13.47,-0.84,-5.87,158261615.0,Cnergyico PK Limited,REFINERY,2026-09-24T11:00:17+00:00,Closed,"Sep 24, 2026 4:01 PM"
BOP,99979158388.64,30.82,30.82,30.83,30.45,30.56,-0.26,-0.84,7227233.0,The Bank of Punjab,COMMERCIAL BANKS,2026-09-24T11:00:17+00:00,Closed,"Sep 24, 2026 4:01 PM"
KEL,167071925182.25,6.53,6.52,6.52,6.01,6.05,-0.48,-7.35,71889086.0,K-Electric Limited,POWER GENERATION,2026-09-24T11:00:17+00:00,Closed,"Sep 24, 2026 4:01 PM"
PIBTL,27273636628.44,15.77,15.92,15.98,15.2,15.27,-0.5,-3.17,7213807.0,Pakistan International Bulk Terminal,TRANSPORT,2026-09-24T11:00:17+00:00,Closed,"Sep 24, 2026 4:01 PM"
SSGC,21053899785.1,24.46,24.74,24.74,23.84,23.9,-0.56,-2.29,3943118.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-09-24T11:00:17+00:00,Closed,"Sep 24, 2026 4:01 PM"
MLCF,98408031395.52,96.07,95.8,95.8,93.75,93.94,-2.13,-2.22,3415195.0,Maple Leaf Cement Factory Limited,CEMENT,2026-09-24T11:00:17+00:00,Closed,"Sep 24, 2026 4:01 PM"
PPL,629767938984.6,232.83,232.83,236.5,230.55,231.45,-1.38,-0.59,5117134.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-09-24T11:00:17+00:00,Closed,"Sep 24, 2026 4:01 PM"
LOTCHEM,37976316576.0,25.7,25.6,25.84,25.0,25.08,-0.62,-2.41,1039237.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-09-24T11:00:17+00:00,Closed,"Sep 24, 2026 4:01 PM"
FCCL,131104683909.0,54.41,54.1,54.41,53.2,53.45,-0.96,-1.76,2037900.0,Fauji Cement Company Limited,CEMENT,2026-09-24T11:00:17+00:00,Closed,"Sep 24, 2026 4:01 PM"
PAEL,33445348431.21,37.03,37.1,37.1,36.11,36.21,-0.82,-2.21,2271376.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-09-24T11:00:17+00:00,Closed,"Sep 24, 2026 4:01 PM"
OGDC,1360082587932.0,319.53,319.53,320.91,315.4,316.23,-3.3,-1.03,1961861.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-09-24T11:00:17+00:00,Closed,"Sep 24, 2026 4:01 PM"
DGKC,85744288473.87001,199.97,199.51,199.51,195.2,195.71,-4.26,-2.13,1264640.0,D.G. Khan Cement Company Limited,CEMENT,2026-09-24T11:00:17+00:00,Closed,"Sep 24, 2026 4:01 PM"
PSO,164817991431.0,352.54,353.01,355.3,350.4,351.07,-1.47,-0.42,1318060.0,Pakistan State Oil Company Limited,OIL & GAS MKTNG,2026-09-24T11:00:17+00:00,Closed,"Sep 24, 2026 4:01 PM"
NBP,351337474030.68,170.57,170.58,171.0,164.51,165.14,-5.43,-3.18,8835706.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-09-24T11:00:17+00:00,Closed,"Sep 24, 2026 4:01 PM"
HUBC,262790509896.0,205.56,205.5,205.7,201.86,202.59,-2.97,-1.44,1353413.0,The Hub Power Company Limited,POWER GENERATION,2026-09-24T11:00:17+00:00,Closed,"Sep 24, 2026 4:01 PM"
