symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc
CNERGY,59109495863.96,10.95,10.95,11.09,10.68,10.76,-0.19,-1.73,58656206.0,Cnergyico PK Limited,REFINERY,2026-07-29T11:00:19+00:00
KEL,201314766046.05,7.39,7.32,7.35,7.22,7.29,-0.1,-1.35,7554849.0,K-Electric Limited,POWER GENERATION,2026-07-29T11:00:19+00:00
BOP,109106836788.65001,33.95,33.52,33.78,33.25,33.35,-0.6,-1.77,8579133.0,The Bank of Punjab,COMMERCIAL BANKS,2026-07-29T11:00:19+00:00
LOTCHEMXD,41368140704.0,27.7,27.48,27.55,27.2,27.32,-0.38,-1.37,1734267.0,LOTCHEMXD,Unknown,2026-07-29T11:00:19+00:00
MLCF,100220314707.36,96.91,94.0,96.29,93.25,95.67,-1.24,-1.28,18349587.0,Maple Leaf Cement Factory Limited,CEMENT,2026-07-29T11:00:19+00:00
PIBTL,29952775786.44,16.73,16.62,17.03,16.35,16.77,0.04,0.24,12828985.0,Pakistan International Bulk Terminal,TRANSPORT,2026-07-29T11:00:19+00:00
SSGC,22525030021.13,25.96,25.7,25.8,25.35,25.57,-0.39,-1.5,3240979.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-07-29T11:00:19+00:00
TPLRF1,18331650000.0,10.05,10.14,10.14,9.82,9.99,-0.06,-0.6,1990078.0,TPL REIT Fund I,REIT,2026-07-29T11:00:19+00:00
PAEL,39107319872.340004,43.19,42.89,42.95,41.9,42.34,-0.85,-1.97,3840816.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-07-29T11:00:19+00:00
FCCL,134121685989.6,55.85,55.25,55.5,54.5,54.68,-1.17,-2.09,4556605.0,Fauji Cement Company Limited,CEMENT,2026-07-29T11:00:19+00:00
PTC,266368920000.0,70.0,69.89,71.75,68.5,70.58,0.58,0.83,6009213.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-07-29T11:00:19+00:00
PSX,39568899742.0,50.02,49.8,49.8,48.95,49.37,-0.65,-1.3,1533577.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-07-29T11:00:19+00:00
DGKC,91080579075.32999,213.33,211.77,211.77,207.39,207.89,-5.44,-2.55,6259316.0,D.G. Khan Cement Company Limited,CEMENT,2026-07-29T11:00:19+00:00
NBP,431034105841.2,207.46,206.9,206.9,201.51,202.6,-4.86,-2.34,1612955.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-07-29T11:00:19+00:00
AKBL,150828568472.49,106.9,106.87,107.4,103.61,104.07,-2.83,-2.65,3050238.0,Askari Bank Limited,COMMERCIAL BANKS,2026-07-29T11:00:19+00:00
PPL,593579070596.2001,222.84,221.0,221.0,217.65,218.15,-4.69,-2.1,1919874.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-07-29T11:00:19+00:00
