symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc
CNERGY,79160579498.11,14.04,14.15,14.65,14.05,14.41,0.37,2.64,90858525.0,Cnergyico PK Limited,REFINERY,2026-08-28T16:48:00+00:00
BOP,114406779085.43,32.55,32.55,35.44,32.32,34.97,2.42,7.44,91717447.0,The Bank of Punjab,COMMERCIAL BANKS,2026-08-28T16:48:00+00:00
KEL,197448638851.75,7.15,7.15,7.2,7.09,7.15,0.0,0.0,14022451.0,K-Electric Limited,POWER GENERATION,2026-08-28T16:48:00+00:00
MLCF,106254275329.44,102.09,102.3,102.8,101.05,101.43,-0.66,-0.65,5905918.0,Maple Leaf Cement Factory Limited,CEMENT,2026-08-28T16:48:00+00:00
PIBTL,28863259195.52,16.37,16.3,16.43,16.07,16.16,-0.21,-1.28,9235008.0,Pakistan International Bulk Terminal,TRANSPORT,2026-08-28T16:48:00+00:00
SSGC,24172343518.960003,27.99,28.2,28.2,27.39,27.44,-0.55,-1.96,8174591.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-08-28T16:48:00+00:00
LOTCHEM,42488654032.0,28.11,28.35,28.35,27.91,28.06,-0.05,-0.18,4078511.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-08-28T16:48:00+00:00
FCCL,138193412374.80002,56.92,57.0,57.15,56.27,56.34,-0.58,-1.02,2789427.0,Fauji Cement Company Limited,CEMENT,2026-08-28T16:48:00+00:00
TPLRF1,17432500000.0,9.59,9.58,9.69,9.4,9.5,-0.09,-0.94,3319464.0,TPL REIT Fund I,REIT,2026-08-28T16:48:00+00:00
PPL,645086986279.8401,237.63,237.0,240.0,236.0,237.08,-0.55,-0.23,3877076.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-08-28T16:48:00+00:00
PSX,39969638042.0,49.74,50.0,50.15,49.62,49.87,0.13,0.26,1003482.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-08-28T16:48:00+00:00
DGKC,93205456695.78,215.31,215.4,215.4,212.0,212.74,-2.57,-1.19,2085415.0,D.G. Khan Cement Company Limited,CEMENT,2026-08-28T16:48:00+00:00
PAEL,36807432614.85,40.55,40.31,40.55,39.82,39.85,-0.7,-1.73,4125751.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-08-28T16:48:00+00:00
HUBC,273388261344.0,210.71,211.0,212.95,210.4,210.76,0.05,0.02,2244981.0,The Hub Power Company Limited,POWER GENERATION,2026-08-28T16:48:00+00:00
PSO,169545587562.0,362.77,362.01,365.5,360.41,361.14,-1.63,-0.45,2322088.0,Pakistan State Oil Company Limited,OIL & GAS MKTNG,2026-08-28T16:48:00+00:00
OGDC,1398661915680.0,323.88,323.87,327.5,322.1,325.2,1.32,0.41,1821529.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-08-28T16:48:00+00:00
PTC,262821360000.0,69.98,69.98,70.4,69.4,69.64,-0.34,-0.49,1437847.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-08-28T16:48:00+00:00
TRG,29991032668.350002,54.86,55.0,57.4,54.52,54.99,0.13,0.24,2852746.0,TRG Pakistan Limited,TECH & COMMUNICATION,2026-08-28T16:48:00+00:00
BAFL,183865909573.02,57.9,57.94,58.49,57.4,58.29,0.39,0.67,2211415.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-08-28T16:48:00+00:00
AKBL,155640241839.73,105.91,105.75,108.19,104.52,107.39,1.48,1.4,2843113.0,Askari Bank Limited,COMMERCIAL BANKS,2026-08-28T16:48:00+00:00
SNGP,64036856665.05,102.04,102.48,102.48,100.6,100.97,-1.07,-1.05,1976489.0,Sui Northern Gas Pipelines Limited,OIL & GAS MKTNG,2026-08-28T16:48:00+00:00
NBP,401993555274.89996,188.8,188.8,190.0,186.01,188.95,0.15,0.08,4227118.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-08-28T16:48:00+00:00
FFL,39639020176.47,15.9,16.0,16.0,15.7,15.73,-0.17,-1.07,1898030.0,Fauji Foods Limited,FOOD & PERSONAL CARE,2026-08-28T16:48:00+00:00
AHCL,67935345941.7,16.21,16.16,16.25,16.06,16.11,-0.1,-0.62,764548.0,Arif Habib Corporation Limited,FERTILIZER,2026-08-28T16:48:00+00:00
NPL,23320268610.0,65.99,66.3,66.5,65.52,65.86,-0.13,-0.2,1084612.0,Nishat Power Limited,POWER GENERATION,2026-08-28T16:48:00+00:00
HBL,477885878581.32,321.12,321.12,329.0,320.0,325.79,4.67,1.45,1382100.0,Habib Bank Limited,COMMERCIAL BANKS,2026-08-28T16:48:00+00:00
YOUW,887615375.0000001,5.18,5.2,5.2,5.11,5.15,-0.03,-0.58,930579.0,Yousaf Weaving Mills Limited,TEXTILE WEAVING,2026-08-28T16:48:00+00:00
NML,50398322212.32,144.54,145.74,145.74,142.3,143.34,-1.2,-0.83,1994544.0,Nishat Mills Limited,TEXTILE COMPOSITE,2026-08-28T16:48:00+00:00
UBL,1148698442925.0,459.85,459.85,461.11,457.0,458.7,-1.15,-0.25,1749780.0,United Bank Limited,COMMERCIAL BANKS,2026-08-28T16:48:00+00:00
SEARL,52069109586.799995,89.37,89.97,89.97,88.45,88.52,-0.85,-0.95,1055606.0,The Searle Company Limited,PHARMA,2026-08-28T16:48:00+00:00
