symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc,market_state,market_state_at_karachi
CNERGY,72513507937.2,13.21,13.22,13.39,13.11,13.2,-0.01,-0.08,29034140.0,Cnergyico PK Limited,REFINERY,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
BOP,100666187945.63,30.97,31.1,31.15,30.65,30.77,-0.2,-0.65,6269784.0,The Bank of Punjab,COMMERCIAL BANKS,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
KEL,185574105326.4,6.74,6.75,6.8,6.69,6.72,-0.02,-0.3,6161855.0,K-Electric Limited,POWER GENERATION,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
MLCF,100765047263.52,94.78,95.19,96.49,94.0,96.19,1.41,1.49,13076753.0,Maple Leaf Cement Factory Limited,CEMENT,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
PIBTL,28631067135.160004,15.96,16.05,16.48,15.94,16.03,0.07,0.44,18030611.0,Pakistan International Bulk Terminal,TRANSPORT,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
SSGC,20816052381.67,23.81,24.0,24.0,23.46,23.63,-0.18,-0.76,3072066.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
PPL,627210229489.48,228.39,228.02,231.89,226.5,230.51,2.12,0.93,2269462.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
LOTCHEM,38778846392.0,25.08,25.48,25.69,24.52,25.61,0.53,2.11,2557996.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
FCCL,132600920713.20001,52.96,53.2,54.29,53.1,54.06,1.1,2.08,2329240.0,Fauji Cement Company Limited,CEMENT,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
PAEL,34018011121.829998,36.55,36.99,37.0,36.0,36.83,0.28,0.77,2264242.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
HUBC,265281046344.0,203.52,204.01,205.1,203.26,204.51,0.99,0.49,1247563.0,The Hub Power Company Limited,POWER GENERATION,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
OGDC,1369458611844.0,317.49,317.8,319.1,316.0,318.41,0.92,0.29,1143864.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
PSO,163766371239.0,349.58,351.0,351.0,347.0,348.83,-0.75,-0.21,629839.0,Pakistan State Oil Company Limited,OIL & GAS MKTNG,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
DGKC,87720205601.34,196.27,197.01,201.22,195.53,200.22,3.95,2.01,3875642.0,D.G. Khan Cement Company Limited,CEMENT,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
NBP,363974900430.96,170.11,171.75,171.75,169.2,171.08,0.97,0.57,1023094.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
TPLRF1,17065500000.000002,9.3,9.6,9.6,9.3,9.3,0.0,0.0,299562.0,TPL REIT Fund I,REIT,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
TRG,28000356741.100002,51.0,51.0,51.49,50.9,51.34,0.34,0.67,1318250.0,TRG Pakistan Limited,TECH & COMMUNICATION,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
BAFL,179733736961.24,57.42,57.39,57.5,56.75,56.98,-0.44,-0.77,966922.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
NPL,22406720280.0,64.32,64.5,64.99,63.0,63.28,-1.04,-1.62,1153728.0,Nishat Power Limited,POWER GENERATION,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
SNGP,57688347848.399994,90.91,91.1,91.45,90.2,90.96,0.05,0.06,602670.0,Sui Northern Gas Pipelines Limited,OIL & GAS MKTNG,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
FFL,36967859249.13,14.72,14.85,14.88,14.5,14.67,-0.05,-0.34,1055163.0,Fauji Foods Limited,FOOD & PERSONAL CARE,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
AKBL,153683687910.28,107.41,107.4,107.95,105.5,106.04,-1.37,-1.27,454744.0,Askari Bank Limited,COMMERCIAL BANKS,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
PTC,238705500000.0,62.89,63.0,63.5,62.5,63.25,0.36,0.57,530313.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
PSX,37172484708.0,46.4,46.75,47.35,46.0,46.38,-0.02,-0.04,686366.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
AHCL,66585916351.299995,15.1,15.24,15.9,15.01,15.79,0.69,4.57,2578684.0,Arif Habib Corporation Limited,FERTILIZER,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
SYS,178576617522.0,121.12,121.12,122.11,120.91,121.2,0.08,0.07,925774.0,Systems Limited,TECH & COMMUNICATION,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
HUMNL,11453400000.0,9.93,9.99,10.44,9.93,10.1,0.17,1.71,2447468.0,Hum Network Limited,TECH & COMMUNICATION,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
SEARL,48616266463.5,80.12,80.49,83.3,80.13,82.65,2.53,3.16,2708250.0,The Searle Company Limited,PHARMA,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
HBL,444691006325.28,303.93,304.49,305.52,302.0,303.16,-0.77,-0.25,307564.0,Habib Bank Limited,COMMERCIAL BANKS,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
CPHL,17214551420.0,75.98,75.91,77.0,74.81,75.35,-0.63,-0.83,777888.0,Citi Pharma Ltd.,PHARMA,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
ENGROH,317664357697.26,263.33,263.2,264.45,262.15,263.79,0.46,0.18,887593.0,Engro Holdings Limited,INV. BANKS / SECURITIES,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
POWER,29075498307.63,22.5,22.69,22.7,22.3,22.53,0.03,0.13,582010.0,Power Cement Limited,CEMENT,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
AICL,34720000000.0,97.94,98.0,99.9,96.13,99.2,1.26,1.29,633883.0,Adamjee Insurance Company Limited,INSURANCE,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
UBL,1074497582092.5,428.61,430.02,432.0,426.52,429.07,0.46,0.11,315578.0,United Bank Limited,COMMERCIAL BANKS,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
YOUW,877274225.0,5.24,5.27,5.27,5.05,5.09,-0.15,-2.86,1326247.0,Yousaf Weaving Mills Limited,TEXTILE WEAVING,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
NML,47051091659.36,132.34,132.51,134.5,130.99,133.82,1.48,1.12,695336.0,Nishat Mills Limited,TEXTILE COMPOSITE,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
LUCK,620852350000.0,421.72,423.94,425.0,419.5,423.79,2.07,0.49,977071.0,Lucky Cement Limited,CEMENT,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
ATRL,119728982587.5,1130.66,1125.01,1138.93,1118.0,1122.99,-7.67,-0.68,242647.0,Attock Refinery Limited,REFINERY,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
MEBL,994662026908.1599,550.98,553.31,553.31,550.0,550.42,-0.56,-0.1,311619.0,Meezan Bank Limited,COMMERCIAL BANKS,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
ILP,140857784439.32,100.0,100.25,100.95,99.0,100.49,0.49,0.49,176764.0,Interloop Limited,TEXTILE COMPOSITE,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
FATIMA,311766000000.0,148.76,149.0,149.9,147.99,148.46,-0.3,-0.2,316746.0,Fatima Fertilizer Company Limited,FERTILIZER,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
EFERT,255055533618.75,189.85,190.0,191.9,190.0,191.01,1.16,0.61,621727.0,Engro Fertilizers Limited,FERTILIZER,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
KAPCO,23397130800.239998,26.62,26.75,26.75,26.48,26.58,-0.04,-0.15,483397.0,Kot Addu Power Company Limited,POWER GENERATION,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
FFC,774482319608.4,540.51,540.51,541.94,536.8,538.2,-2.31,-0.43,415322.0,Fauji Fertilizer Company Limited,FERTILIZER,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
MARI,775085867325.0,635.95,635.95,653.74,633.5,645.57,9.62,1.51,827165.0,Mari Energies Limited,OIL & GAS EXPLORATION,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
ISL,35844000000.0,81.09,81.1,83.3,81.1,82.4,1.31,1.62,93367.0,International Steels Limited,ENGINEERING,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
GAL,30660504700.0,537.34,537.34,542.9,534.0,537.88,0.54,0.1,187098.0,Ghandhara Automobiles Limited,AUTO ASSEMBLER,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
KTML,57455038937.600006,42.81,42.81,43.15,42.51,42.67,-0.14,-0.33,53603.0,Kohinoor Textile Mills Limited,TEXTILE COMPOSITE,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
GHGL,40278510823.02,40.18,40.88,41.99,39.88,40.29,0.11,0.27,944525.0,Ghani Glass Limited,GLASS & CERAMICS,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
AIRLINK,50491691567.939995,126.95,127.89,128.24,126.95,127.74,0.79,0.62,256313.0,Air Link Communication Limited,TECH & COMMUNICATION,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
BAHL,168981120704.75998,154.62,152.02,155.0,151.49,152.04,-2.58,-1.67,307203.0,Bank AL Habib Limited,COMMERCIAL BANKS,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
FABL,142481349860.88,94.32,94.5,94.55,93.5,93.88,-0.44,-0.47,205618.0,Faysal Bank Limited,COMMERCIAL BANKS,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
JVDC,55331405740.16,144.65,145.9,145.9,143.66,145.28,0.63,0.44,468359.0,Javedan Corporation Limited,PROPERTY,2026-09-22T11:00:41+00:00,Closed,"Sep 22, 2026 4:01 PM"
