symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc
CNERGY,78391496838.17,14.17,14.17,14.63,13.82,14.27,0.1,0.71,117904280.0,Cnergyico PK Limited,REFINERY,2026-08-25T11:00:16+00:00
KEL,196620183024.4,7.13,7.13,7.18,7.1,7.12,-0.01,-0.14,5166622.0,K-Electric Limited,POWER GENERATION,2026-08-25T11:00:16+00:00
BOP,107634630595.09999,32.88,32.98,33.1,32.8,32.9,0.02,0.06,5810862.0,The Bank of Punjab,COMMERCIAL BANKS,2026-08-25T11:00:16+00:00
PIBTL,29274060533.08,16.33,16.43,16.58,16.35,16.39,0.06,0.37,4933025.0,Pakistan International Bulk Terminal,TRANSPORT,2026-08-25T11:00:16+00:00
MLCF,108338924919.36,101.7,102.5,103.89,100.62,103.42,1.72,1.69,18871822.0,Maple Leaf Cement Factory Limited,CEMENT,2026-08-25T11:00:16+00:00
SSGC,24965168197.06,28.33,28.75,28.75,28.0,28.34,0.01,0.03,5703454.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-08-25T11:00:16+00:00
LOTCHEM,42685500968.0,27.48,28.0,28.65,27.71,28.19,0.71,2.58,15914541.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-08-25T11:00:16+00:00
TPLRF1,17744450000.0,9.68,9.75,9.79,9.55,9.67,-0.01,-0.1,628553.0,TPL REIT Fund I,REIT,2026-08-25T11:00:16+00:00
FCCL,141553813066.2,56.69,57.01,57.9,56.26,57.71,1.02,1.8,6552795.0,Fauji Cement Company Limited,CEMENT,2026-08-25T11:00:16+00:00
PPL,662610017288.9601,245.66,246.75,247.7,242.63,243.52,-2.14,-0.87,5718456.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-08-25T11:00:16+00:00
PSX,41147808644.0,51.5,52.0,52.0,51.15,51.34,-0.16,-0.31,706465.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-08-25T11:00:16+00:00
PAEL,37758791600.880005,40.98,41.15,41.5,40.8,40.88,-0.1,-0.24,2818532.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-08-25T11:00:16+00:00
DGKC,97003949266.77,218.32,219.85,222.46,218.55,221.41,3.09,1.42,7679903.0,D.G. Khan Cement Company Limited,CEMENT,2026-08-25T11:00:16+00:00
HUBC,268874164032.0,207.56,207.75,208.45,206.5,207.28,-0.28,-0.13,1385549.0,The Hub Power Company Limited,POWER GENERATION,2026-08-25T11:00:16+00:00
PSO,175428088011.0,375.47,376.5,377.0,371.5,373.67,-1.8,-0.48,1377317.0,Pakistan State Oil Company Limited,OIL & GAS MKTNG,2026-08-25T11:00:16+00:00
OGDC,1408252986012.0,331.09,332.89,333.43,326.9,327.43,-3.66,-1.1,2999058.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-08-25T11:00:16+00:00
PTC,264708360000.0,70.23,70.25,70.79,69.77,70.14,-0.09,-0.13,917550.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-08-25T11:00:16+00:00
