symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc,market_state,market_state_at_karachi
CNERGY,70371063384.51001,12.93,12.79,13.24,12.5,12.81,-0.12,-0.93,97168485.0,Cnergyico PK Limited,REFINERY,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
BOP,101026060570.72,31.72,31.6,31.6,30.73,30.88,-0.84,-2.65,19657391.0,The Bank of Punjab,COMMERCIAL BANKS,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
KEL,182260282017.0,6.85,6.85,6.85,6.57,6.6,-0.25,-3.65,14887518.0,K-Electric Limited,POWER GENERATION,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
PIBTL,26452033953.32,15.31,15.3,15.45,14.75,14.81,-0.5,-3.27,5467514.0,Pakistan International Bulk Terminal,TRANSPORT,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
MLCF,96009113023.20001,95.4,93.51,93.51,91.01,91.65,-3.75,-3.93,7930046.0,Maple Leaf Cement Factory Limited,CEMENT,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
SSGC,20542968325.88,23.64,23.6,24.2,23.06,23.32,-0.32,-1.35,5635265.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
PPL,598340763805.2001,218.86,216.7,223.0,214.0,219.9,1.04,0.48,7875159.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
FCCL,126002761691.4,52.74,52.49,52.49,51.25,51.37,-1.37,-2.6,2109691.0,Fauji Cement Company Limited,CEMENT,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
LOTCHEM,37431201984.0,25.21,24.9,25.3,24.68,24.72,-0.49,-1.94,4655884.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
TPLRF1,17175599999.999998,9.41,9.3,9.6,9.15,9.36,-0.05,-0.53,2397692.0,TPL REIT Fund I,REIT,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
PAEL,32364678515.04,36.31,36.0,36.0,34.81,35.04,-1.27,-3.5,1588188.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
HUBC,261856558728.0,203.76,203.0,204.0,200.93,201.87,-1.89,-0.93,1584845.0,The Hub Power Company Limited,POWER GENERATION,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
PSO,159710121927.0,348.13,344.99,348.22,338.81,340.19,-7.94,-2.28,1138407.0,Pakistan State Oil Company Limited,OIL & GAS MKTNG,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
OGDC,1355351566692.0,320.83,319.5,323.0,312.96,315.13,-5.7,-1.78,3315903.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
DGKC,82822034096.87999,193.86,192.87,192.87,188.0,189.04,-4.82,-2.49,2229254.0,D.G. Khan Cement Company Limited,CEMENT,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
PSX,36819835004.0,47.05,47.05,47.35,45.8,45.94,-1.11,-2.36,431582.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
BAFL,171090872109.12,55.19,55.08,55.08,53.95,54.24,-0.95,-1.72,10179833.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
TRG,26833220718.0,50.48,50.0,50.59,49.0,49.2,-1.28,-2.54,1164556.0,TRG Pakistan Limited,TECH & COMMUNICATION,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
AKBL,149799566035.52,106.04,105.95,105.95,102.5,103.36,-2.68,-2.53,1248693.0,Askari Bank Limited,COMMERCIAL BANKS,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
PTC,242404020000.0,66.03,66.0,66.0,64.0,64.23,-1.8,-2.73,1663999.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
AHCL,63085833351.200005,14.95,14.89,15.0,14.22,14.96,0.01,0.07,599290.0,Arif Habib Corporation Limited,FERTILIZER,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
SNGP,56508704851.5,93.37,92.0,94.4,87.55,89.1,-4.27,-4.57,3211106.0,Sui Northern Gas Pipelines Limited,OIL & GAS MKTNG,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
NPL,21914537265.0,63.29,63.0,63.28,61.5,61.89,-1.4,-2.21,970762.0,Nishat Power Limited,POWER GENERATION,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
NBP,377314406075.7,180.47,180.45,180.94,176.5,177.35,-3.12,-1.73,1965679.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
FFL,36463866621.33,14.76,14.75,14.75,14.44,14.47,-0.29,-1.96,953501.0,Fauji Foods Limited,FOOD & PERSONAL CARE,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
HBL,438251523815.16,302.65,301.0,302.97,296.5,298.77,-3.88,-1.28,1204191.0,Habib Bank Limited,COMMERCIAL BANKS,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
SYS,178753426054.19998,123.54,123.54,123.95,120.0,121.32,-2.22,-1.8,581776.0,Systems Limited,TECH & COMMUNICATION,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
POWER,27294575641.649998,22.02,22.01,22.38,21.0,21.15,-0.87,-3.95,358883.0,Power Cement Limited,CEMENT,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
SEARL,45928107507.2,79.91,79.0,79.85,77.5,78.08,-1.83,-2.29,1469308.0,The Searle Company Limited,PHARMA,2026-09-14T11:00:15+00:00,Closed,"Sep 14, 2026 3:59 PM"
