symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc
CNERGY,79435251876.66,14.66,14.83,14.83,14.23,14.46,-0.2,-1.36,80990448.0,Cnergyico PK Limited,REFINERY,2026-09-03T11:00:13+00:00
BOP,112509268880.41,34.08,34.15,34.68,34.0,34.39,0.31,0.91,16905115.0,The Bank of Punjab,COMMERCIAL BANKS,2026-09-03T11:00:13+00:00
KEL,196344031081.95,7.12,7.12,7.2,7.1,7.11,-0.01,-0.14,7755181.0,K-Electric Limited,POWER GENERATION,2026-09-03T11:00:13+00:00
PIBTL,29041868472.72,16.17,16.2,16.42,16.2,16.26,0.09,0.56,4549761.0,Pakistan International Bulk Terminal,TRANSPORT,2026-09-03T11:00:13+00:00
MLCF,103771551948.48,97.44,98.05,101.7,98.05,99.06,1.62,1.66,12280702.0,Maple Leaf Cement Factory Limited,CEMENT,2026-09-03T11:00:13+00:00
SSGC,23784740343.0,27.3,27.3,27.6,26.94,27.0,-0.3,-1.1,5155776.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-09-03T11:00:13+00:00
FCCL,132649977657.59999,53.28,53.35,54.55,53.35,54.08,0.8,1.5,3266681.0,Fauji Cement Company Limited,CEMENT,2026-09-03T11:00:13+00:00
LOTCHEM,40429332240.0,26.86,27.08,27.15,26.64,26.7,-0.16,-0.6,2617265.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-09-03T11:00:13+00:00
PPL,613306085319.2001,226.97,228.3,228.7,224.75,225.4,-1.57,-0.69,3195494.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-09-03T11:00:13+00:00
TPLRF1,17744450000.0,9.61,9.58,9.8,9.58,9.67,0.06,0.62,2501788.0,TPL REIT Fund I,REIT,2026-09-03T11:00:13+00:00
PAEL,36336371369.340004,37.99,38.03,39.69,38.03,39.34,1.35,3.55,7894085.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-09-03T11:00:13+00:00
DGKC,89126567902.71,202.49,203.1,206.9,203.0,203.43,0.94,0.46,2379420.0,D.G. Khan Cement Company Limited,CEMENT,2026-09-03T11:00:13+00:00
HUBC,268134786024.0,207.41,207.52,208.75,205.5,206.71,-0.7,-0.34,1333511.0,The Hub Power Company Limited,POWER GENERATION,2026-09-03T11:00:13+00:00
PSX,39488752082.0,49.15,49.31,50.18,49.01,49.27,0.12,0.24,922867.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-09-03T11:00:13+00:00
PSO,168860156544.0,359.63,360.11,362.5,359.0,359.68,0.05,0.01,1131799.0,Pakistan State Oil Company Limited,OIL & GAS MKTNG,2026-09-03T11:00:13+00:00
OGDC,1406489605368.0,328.44,331.7,331.7,325.85,327.02,-1.42,-0.43,2136582.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-09-03T11:00:13+00:00
TRG,29669252176.0,53.95,54.05,54.88,53.6,54.4,0.45,0.83,1125975.0,TRG Pakistan Limited,TECH & COMMUNICATION,2026-09-03T11:00:13+00:00
BAFL,177904225423.19998,56.41,56.73,57.03,56.39,56.4,-0.01,-0.02,1448336.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-09-03T11:00:13+00:00
AKBL,153756152870.63,104.97,104.97,107.5,104.97,106.09,1.12,1.07,2118082.0,Askari Bank Limited,COMMERCIAL BANKS,2026-09-03T11:00:13+00:00
PTC,252895740000.00003,67.26,67.06,68.2,66.9,67.01,-0.25,-0.37,2111573.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-09-03T11:00:13+00:00
SNGP,62254707836.4,99.75,99.7,100.78,96.51,98.16,-1.59,-1.59,1484762.0,Sui Northern Gas Pipelines Limited,OIL & GAS MKTNG,2026-09-03T11:00:13+00:00
FFL,38580635658.090004,15.18,15.1,15.38,15.08,15.31,0.13,0.86,1013496.0,Fauji Foods Limited,FOOD & PERSONAL CARE,2026-09-03T11:00:13+00:00
NBP,394440884614.8,182.96,182.96,188.0,182.96,185.4,2.44,1.33,1726509.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-09-03T11:00:13+00:00
AHCL,67640158218.799995,15.84,15.86,16.2,15.78,16.04,0.2,1.26,1199825.0,Arif Habib Corporation Limited,FERTILIZER,2026-09-03T11:00:13+00:00
