symbol,ldcp,open,high,low,close,change,percent_change,volume,market_cap,company,sector,downloaded_at_utc,market_state,market_state_at_karachi
SRVI,177.89000000000001,176.81,183.0,175.85,180.12,2.23,1.2535836753049636,57768.0,84633885000.0,Service Industries Limited,LEATHER & TANNERIES,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
SSGC,23.900000000000002,23.8,24.43,23.62,24.28,0.38,1.5899581589958158,5262230.0,21388647982.52,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
SSOM,445.65,445.64,452.94,441.13,442.32,-3.33,-0.7472231571861326,7562.0,2502823488.0,S.S.Oil Mills Limited,VANASPATI & ALLIED,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
SYS,119.47,119.5,120.6,118.0,119.42,-0.05,-0.041851510839541306,977425.0,175953957627.7,Systems Limited,TECH & COMMUNICATION,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
TGL,159.35000000000002,160.0,163.77,154.01,155.49,-3.86,-2.422340759334797,133299.0,26770276062.120003,Tariq Glass Industries Limited,GLASS & CERAMICS,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
THALL,519.61,522.0,526.9,515.0,516.07,-3.54,-0.681280190912415,12779.0,41817109266.19,Thal Limited,AUTO PARTS,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
TPLRF1,9.28,9.43,9.43,9.21,9.24,-0.04,-0.4310344827586208,620706.0,16955400000.0,TPL REIT Fund I,REIT,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
TRG,51.72,51.9,53.2,51.4,52.47,0.75,1.4501160092807426,4081821.0,28616648192.55,TRG Pakistan Limited,TECH & COMMUNICATION,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
UBL,426.26000000000005,426.0,429.0,423.0,427.47,1.21,0.28386430816872327,384286.0,1070490785692.5001,United Bank Limited,COMMERCIAL BANKS,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
UPFL,24860.01,25098.0,25098.0,24865.25,24982.0,121.99,0.49070776721328757,13.0,159133641224.0,Unilever Pakistan Foods Limited,FOOD & PERSONAL CARE,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
YOUW,4.9,5.03,5.03,4.81,4.94,0.04,0.8163265306122448,358206.0,851421350.0000001,Yousaf Weaving Mills Limited,TEXTILE WEAVING,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
