symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc
CNERGY,84928699447.66,14.41,14.5,15.58,14.2,15.46,1.05,7.29,293180534.0,Cnergyico PK Limited,REFINERY,2026-08-31T17:23:06+00:00
BOP,114472210471.81001,34.97,34.89,35.79,34.52,34.99,0.02,0.06,52289978.0,The Bank of Punjab,COMMERCIAL BANKS,2026-08-31T17:23:06+00:00
KEL,199934006333.80002,7.15,7.15,7.48,7.09,7.24,0.09,1.26,31725321.0,K-Electric Limited,POWER GENERATION,2026-08-31T17:23:06+00:00
MLCF,104316284504.64,101.43,100.0,100.99,99.1,99.58,-1.85,-1.82,4963425.0,Maple Leaf Cement Factory Limited,CEMENT,2026-08-31T17:23:06+00:00
PIBTL,28988285689.56,16.16,16.2,16.35,16.03,16.23,0.07,0.43,5879241.0,Pakistan International Bulk Terminal,TRANSPORT,2026-08-31T17:23:06+00:00
SSGC,24366145106.94,27.44,27.4,27.89,27.11,27.66,0.22,0.8,6957697.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-08-31T17:23:06+00:00
LOTCHEM,41580129712.0,28.06,28.21,28.23,27.3,27.46,-0.6,-2.14,3920627.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-08-31T17:23:06+00:00
FCCL,135666979738.20001,56.34,56.1,56.34,55.11,55.31,-1.03,-1.83,3107844.0,Fauji Cement Company Limited,CEMENT,2026-08-31T17:23:06+00:00
TPLRF1,17799500000.0,9.5,9.51,9.79,9.51,9.7,0.2,2.11,3623685.0,TPL REIT Fund I,REIT,2026-08-31T17:23:06+00:00
PPL,638066890006.0,237.08,237.0,239.06,233.91,234.5,-2.58,-1.09,4201228.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-08-31T17:23:06+00:00
PSX,39833387020.0,49.87,50.18,50.49,49.5,49.7,-0.17,-0.34,1133839.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-08-31T17:23:06+00:00
DGKC,91821000349.26001,212.74,212.0,212.8,208.75,209.58,-3.16,-1.48,2633417.0,D.G. Khan Cement Company Limited,CEMENT,2026-08-31T17:23:06+00:00
PAEL,36354844359.36,39.85,39.58,39.95,39.23,39.36,-0.49,-1.23,3224567.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-08-31T17:23:06+00:00
