symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc
CNERGY,58285478728.31,10.76,10.76,10.91,10.51,10.61,-0.15,-1.39,28721571.0,Cnergyico PK Limited,REFINERY,2026-07-30T11:35:27+00:00
KEL,198553246621.55002,7.29,7.27,7.33,7.12,7.19,-0.1,-1.37,19095390.0,K-Electric Limited,POWER GENERATION,2026-07-30T11:35:27+00:00
BOP,109237699561.41,33.35,33.19,33.6,33.0,33.39,0.04,0.12,12438887.0,The Bank of Punjab,COMMERCIAL BANKS,2026-07-30T11:35:27+00:00
LOTCHEMXD,41080441336.0,27.32,27.08,27.4,26.91,27.13,-0.19,-0.69,3822190.0,LOTCHEMXD,Unknown,2026-07-30T11:35:27+00:00
MLCF,100136509698.72,95.67,94.5,96.2,93.55,95.59,-0.08,-0.08,14869171.0,Maple Leaf Cement Factory Limited,CEMENT,2026-07-30T11:35:27+00:00
PIBTL,30381438051.72,16.77,16.86,17.45,16.85,17.01,0.24,1.43,32125019.0,Pakistan International Bulk Terminal,TRANSPORT,2026-07-30T11:35:27+00:00
SSGC,22181472660.62,25.57,25.5,25.6,25.09,25.18,-0.39,-1.52,4516597.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-07-30T11:35:27+00:00
TPLRF1,18221550000.0,9.99,9.99,10.12,9.7,9.93,-0.06,-0.6,2471589.0,TPL REIT Fund I,REIT,2026-07-30T11:35:27+00:00
PAEL,38904116982.119995,42.34,42.0,42.39,41.75,42.12,-0.22,-0.52,2850211.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-07-30T11:35:27+00:00
FCCL,132600920713.20001,54.68,54.0,54.65,53.5,54.06,-0.62,-1.13,5734858.0,Fauji Cement Company Limited,CEMENT,2026-07-30T11:35:27+00:00
PTC,269388119999.99997,70.58,69.89,72.35,69.3,71.38,0.8,1.13,4512614.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-07-30T11:35:27+00:00
PSX,41107734814.0,49.37,49.35,52.3,49.0,51.29,1.92,3.89,17816370.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-07-30T11:35:27+00:00
DGKC,90791420471.31,207.89,206.0,208.5,204.0,207.23,-0.66,-0.32,4797515.0,D.G. Khan Cement Company Limited,CEMENT,2026-07-30T11:35:27+00:00
AKBL,149379269265.49,104.07,103.1,104.8,102.74,103.07,-1.0,-0.96,1466790.0,Askari Bank Limited,COMMERCIAL BANKS,2026-07-30T11:35:27+00:00
NBP,426055725744.12,202.6,201.51,203.45,199.04,200.26,-2.34,-1.15,1620541.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-07-30T11:35:27+00:00
PPL,585416167952.2001,218.15,216.15,218.75,214.0,215.15,-3.0,-1.37,2728296.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-07-30T11:35:27+00:00
OGDC,1350491517600.0,317.05,316.1,318.0,312.0,314.0,-3.05,-0.96,1574164.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-07-30T11:35:27+00:00
FFL,40495807643.73,16.07,16.05,16.2,16.0,16.07,0.0,0.0,1665685.0,Fauji Foods Limited,FOOD & PERSONAL CARE,2026-07-30T11:35:27+00:00
SNGP,64005145831.8,101.08,100.98,101.4,99.4,100.92,-0.16,-0.16,906293.0,Sui Northern Gas Pipelines Limited,OIL & GAS MKTNG,2026-07-30T11:35:27+00:00
BAFL,181973311430.22,57.16,57.0,58.65,56.3,57.69,0.53,0.93,15855930.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-07-30T11:35:27+00:00
HUBC,281767878768.0,219.33,218.0,219.2,216.5,217.22,-2.11,-0.96,2041608.0,The Hub Power Company Limited,POWER GENERATION,2026-07-30T11:35:27+00:00
TRG,33705143097.0,61.0,61.01,62.9,61.0,61.8,0.8,1.31,5006333.0,TRG Pakistan Limited,TECH & COMMUNICATION,2026-07-30T11:35:27+00:00
ENGROH,326816520851.66,277.64,275.8,276.99,269.0,271.39,-6.25,-2.25,1810445.0,Engro Holdings Limited,INV. BANKS / SECURITIES,2026-07-30T11:35:27+00:00
SEARL,52751443151.200005,89.91,89.1,90.0,89.01,89.68,-0.23,-0.26,804944.0,The Searle Company Limited,PHARMA,2026-07-30T11:35:27+00:00
AHCL,63338851399.4,15.16,15.01,15.15,14.91,15.02,-0.14,-0.92,1089092.0,Arif Habib Corporation Limited,FERTILIZER,2026-07-30T11:35:27+00:00
UBL,1186913263590.0,469.11,467.0,476.0,463.99,473.96,4.85,1.03,3670901.0,United Bank Limited,COMMERCIAL BANKS,2026-07-30T11:35:27+00:00
YOUW,928979975.0,5.37,5.3,5.55,5.21,5.39,0.02,0.37,1945072.0,Yousaf Weaving Mills Limited,TEXTILE WEAVING,2026-07-30T11:35:27+00:00
NML,50844854019.28001,146.43,145.0,146.33,144.0,144.61,-1.82,-1.24,859796.0,Nishat Mills Limited,TEXTILE COMPOSITE,2026-07-30T11:35:27+00:00
