symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc
CNERGY,54275262001.48,9.96,9.96,10.21,9.73,9.88,-0.08,-0.8,99430517.0,Cnergyico PK Limited,REFINERY,2026-07-22T14:27:20+00:00
KEL,199381702448.9,7.4,7.4,7.44,7.18,7.22,-0.18,-2.43,18735568.0,K-Electric Limited,POWER GENERATION & DISTRIBUTION,2026-07-22T14:27:20+00:00
BOP,110415464516.25,34.03,33.71,34.59,33.56,33.75,-0.28,-0.82,22944760.0,The Bank of Punjab,COMMERCIAL BANKS,2026-07-22T14:27:20+00:00
MLCF,96543369953.28,94.36,93.94,94.2,91.49,92.16,-2.2,-2.33,13943190.0,Maple Leaf Cement Factory Limited,CEMENT,2026-07-22T14:27:20+00:00
PIBTL,29309782388.52,16.74,16.62,16.75,16.35,16.41,-0.33,-1.97,6981576.0,Pakistan International Bulk Terminal,TRANSPORT,2026-07-22T14:27:20+00:00
LOTCHEM,44381413032.0,29.32,29.03,29.56,28.9,29.31,-0.01,-0.03,7613648.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-07-22T14:27:20+00:00
TPLRF1,18496800000.0,10.37,10.32,10.44,10.04,10.08,-0.29,-2.8,3341378.0,TPL REIT Fund I,REAL ESTATE INVESTMENT TRUST,2026-07-22T14:27:20+00:00
SSGC,23767122016.82,28.25,27.7,28.18,26.6,26.98,-1.27,-4.5,11275013.0,Sui Southern Gas Company Limited,OIL & GAS MARKETING COMPANIES,2026-07-22T14:27:20+00:00
PAEL,38830225022.04,43.2,43.15,43.49,41.8,42.04,-1.16,-2.68,4579773.0,Pak Elektron Limited,CABLE & ELECTRICAL GOODS,2026-07-22T14:27:20+00:00
FCCL,130221658909.8,54.7,54.7,54.74,52.5,53.09,-1.61,-2.94,4416241.0,Fauji Cement Company Limited,CEMENT,2026-07-22T14:27:20+00:00
PTC,263651640000.0,70.53,70.7,71.49,69.4,69.86,-0.67,-0.95,1860343.0,Pakistan Telecommunication Company Ltd,TECHNOLOGY & COMMUNICATION,2026-07-22T14:27:20+00:00
PSX,40137948128.0,51.36,51.0,51.6,49.8,50.08,-1.28,-2.49,4484819.0,Pakistan Stock Exchange Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-07-22T14:27:20+00:00
DGKC,89783746548.21,206.51,204.97,207.6,202.5,204.93,-1.58,-0.76,3767933.0,D.G. Khan Cement Company Limited,CEMENT,2026-07-22T14:27:20+00:00
NBP,428927868107.82,203.05,203.05,203.99,200.96,201.61,-1.44,-0.71,1408519.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-07-22T14:27:20+00:00
AKBL,151176400282.17,105.7,105.69,106.8,102.66,104.31,-1.39,-1.31,2980843.0,Askari Bank Limited,COMMERCIAL BANKS,2026-07-22T14:27:20+00:00
PPL,590014603108.3201,219.78,219.0,220.0,214.88,216.84,-2.94,-1.34,3369470.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION COMPANIES,2026-07-22T14:27:20+00:00
FFL,41629791056.28,16.69,16.42,16.75,16.42,16.52,-0.17,-1.02,978780.0,Fauji Foods Limited,FOOD & PERSONAL CARE PRODUCTS,2026-07-22T14:27:20+00:00
OGDC,1360340643636.0,315.84,315.84,319.0,313.0,316.29,0.45,0.14,2417421.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION COMPANIES,2026-07-22T14:27:20+00:00
TRG,32319850807.899998,60.14,59.99,60.6,59.0,59.26,-0.88,-1.46,674486.0,TRG Pakistan Limited,TECHNOLOGY & COMMUNICATION,2026-07-22T14:27:20+00:00
SNGP,64512519163.8,104.9,104.3,104.4,100.72,101.72,-3.18,-3.03,2703348.0,Sui Northern Gas Pipelines Limited,OIL & GAS MARKETING COMPANIES,2026-07-22T14:27:20+00:00
BAFL,178945154401.74,56.84,57.38,57.38,56.56,56.73,-0.11,-0.19,485886.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-07-22T14:27:20+00:00
HUBC,281586277152.0,219.38,219.38,219.88,216.11,217.08,-2.3,-1.05,1838524.0,The Hub Power Company Limited,POWER GENERATION & DISTRIBUTION,2026-07-22T14:27:20+00:00
AHCL,63085833351.200005,15.0,14.99,15.16,14.85,14.96,-0.04,-0.27,709164.0,Arif Habib Corporation Limited,FERTILIZER,2026-07-22T14:27:20+00:00
SEARL,53186724907.8,91.48,90.71,91.7,90.0,90.42,-1.06,-1.16,977532.0,The Searle Company Limited,PHARMACEUTICALS,2026-07-22T14:27:20+00:00
ENGROH,329646466037.56,278.55,277.0,279.9,272.5,273.74,-4.81,-1.73,944522.0,Engro Holdings Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-07-22T14:27:20+00:00
UBL,1163949311722.5,474.36,474.36,474.98,462.02,464.79,-9.57,-2.02,4611424.0,United Bank Limited,COMMERCIAL BANKS,2026-07-22T14:27:20+00:00
POWER,26765460936.539997,21.3,21.21,21.21,20.4,20.74,-0.56,-2.63,413567.0,Power Cement Limited,CEMENT,2026-07-22T14:27:20+00:00
PSO,162090351558.0,346.95,346.94,349.0,344.2,345.26,-1.69,-0.49,1386852.0,Pakistan State Oil Company Limited,OIL & GAS MARKETING COMPANIES,2026-07-22T14:27:20+00:00
YOUW,935874075.0,5.11,5.2,6.11,5.15,5.43,0.32,6.26,13780201.0,Yousaf Weaving Mills Limited,TEXTILE WEAVING,2026-07-22T14:27:20+00:00
NML,49582610564.96001,143.52,141.48,144.1,140.25,141.02,-2.5,-1.74,1589542.0,Nishat Mills Limited,TEXTILE COMPOSITE,2026-07-22T14:27:20+00:00
HBL,439791718948.56,302.35,302.0,304.9,298.26,299.82,-2.53,-0.84,1036160.0,Habib Bank Limited,COMMERCIAL BANKS,2026-07-22T14:27:20+00:00
JVDC,53411869087.28001,143.3,144.0,144.0,140.0,140.24,-3.06,-2.14,237902.0,Javedan Corporation Limited,PROPERTY,2026-07-22T14:27:20+00:00
LUCK,652144750000.0,450.0,449.0,455.0,439.5,445.15,-4.85,-1.08,955502.0,Lucky Cement Limited,CEMENT,2026-07-22T14:27:20+00:00
NPL,23571671444.999996,67.7,68.25,68.4,66.26,66.57,-1.13,-1.67,1136808.0,Nishat Power Limited,POWER GENERATION & DISTRIBUTION,2026-07-22T14:27:20+00:00
