symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc,market_state,market_state_at_karachi
CNERGY,70755604714.48001,12.8,13.01,13.05,12.84,12.88,0.08,0.63,25967087.0,Cnergyico PK Limited,REFINERY,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
BOP,100273599627.34999,30.12,30.23,31.1,30.02,30.65,0.53,1.76,11165645.0,The Bank of Punjab,COMMERCIAL BANKS,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
KEL,183088737844.35,6.52,6.58,6.74,6.58,6.63,0.11,1.69,7083228.0,K-Electric Limited,POWER GENERATION,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
PIBTL,26719947869.120003,14.88,14.99,15.18,14.84,14.96,0.08,0.54,2374533.0,Pakistan International Bulk Terminal,TRANSPORT,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
SSGC,20798434055.489998,22.98,23.05,23.91,23.05,23.61,0.63,2.74,3704902.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
MLCF,97695688822.08,91.32,92.52,94.0,91.5,93.26,1.94,2.12,7928075.0,Maple Leaf Cement Factory Limited,CEMENT,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
PPL,613605391749.48,218.03,219.97,227.4,219.62,225.51,7.48,3.43,7316874.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
FCCL,130221658909.8,52.39,52.89,53.4,52.0,53.09,0.7,1.34,2268092.0,Fauji Cement Company Limited,CEMENT,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
LOTCHEM,37234355048.0,24.57,24.56,24.77,24.5,24.59,0.02,0.08,1010847.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
HUBC,262764566808.0,202.25,203.03,203.99,200.65,202.57,0.32,0.16,1351246.0,The Hub Power Company Limited,POWER GENERATION,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
PAEL,32937341205.659996,35.12,35.41,36.3,35.4,35.66,0.54,1.54,3427871.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
TPLRF1,17047149999.999998,9.32,9.29,9.5,9.23,9.29,-0.03,-0.32,695369.0,TPL REIT Fund I,REIT,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
OGDC,1359953560080.0,314.14,315.7,317.5,312.2,316.2,2.06,0.66,2246109.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
PSO,160527005469.0,339.54,342.0,343.89,338.4,341.93,2.39,0.7,675518.0,Pakistan State Oil Company Limited,OIL & GAS MKTNG,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
DGKC,84986342436.06,190.24,192.3,194.75,189.2,193.98,3.74,1.97,3626375.0,D.G. Khan Cement Company Limited,CEMENT,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
BAFL,179449847239.82,55.48,55.88,57.0,55.12,56.89,1.41,2.54,1665014.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
NBP,355188272310.89996,169.12,170.01,175.75,161.0,166.95,-2.17,-1.28,9238295.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
TRG,27067738703.95,49.09,50.4,50.6,49.11,49.63,0.54,1.1,1030783.0,TRG Pakistan Limited,TECH & COMMUNICATION,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
SNGP,57770796014.85,89.81,90.1,91.79,89.35,91.09,1.28,1.43,1048721.0,Sui Northern Gas Pipelines Limited,OIL & GAS MKTNG,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
NPL,21918078150.0,62.06,62.06,63.9,61.3,61.9,-0.16,-0.26,2256993.0,Nishat Power Limited,POWER GENERATION,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
AKBL,155060522156.93,105.76,105.0,107.8,105.0,106.99,1.23,1.16,742236.0,Askari Bank Limited,COMMERCIAL BANKS,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
PSX,35882107382.0,44.09,44.97,45.18,44.35,44.77,0.68,1.54,386016.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
PTC,237195900000.0,62.43,63.1,63.95,62.25,62.85,0.42,0.67,805891.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
FFL,36640264041.06,14.38,14.4,14.69,14.4,14.54,0.16,1.11,1137594.0,Fauji Foods Limited,FOOD & PERSONAL CARE,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
AHCL,63128003025.9,14.97,15.13,15.13,14.9,14.97,0.0,0.0,422435.0,Arif Habib Corporation Limited,FERTILIZER,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
HBL,436256604404.28,294.15,297.24,301.0,294.33,297.41,3.26,1.11,1368143.0,Habib Bank Limited,COMMERCIAL BANKS,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
SYS,179549064449.1,122.12,122.01,123.8,121.6,121.86,-0.26,-0.21,749800.0,Systems Limited,TECH & COMMUNICATION,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
POWER,28172131737.929996,21.71,21.7,22.15,21.7,21.83,0.12,0.55,389739.0,Power Cement Limited,CEMENT,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
HUMNL,11283300000.0,9.75,9.9,10.19,9.65,9.95,0.2,2.05,1987002.0,Hum Network Limited,TECH & COMMUNICATION,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
SEARL,46151630571.399994,76.97,77.2,78.8,77.2,78.46,1.49,1.94,1506318.0,The Searle Company Limited,PHARMA,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
CPHL,16892421128.0,71.61,72.0,74.33,71.5,73.94,2.33,3.25,1552137.0,Citi Pharma Ltd.,PHARMA,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
ENGROH,314906666431.0,259.54,260.0,262.35,256.72,261.5,1.96,0.76,804423.0,Engro Holdings Limited,INV. BANKS / SECURITIES,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
NML,45370444385.92,127.52,128.99,130.5,128.0,129.04,1.52,1.19,995860.0,Nishat Mills Limited,TEXTILE COMPOSITE,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
UBL,1058871076132.5,419.83,421.84,424.3,420.0,422.83,3.0,0.72,950745.0,United Bank Limited,COMMERCIAL BANKS,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
AICL,34720000000.0,98.34,98.0,99.88,96.13,99.2,0.86,0.88,436606.0,Adamjee Insurance Company Limited,INSURANCE,2026-09-17T11:19:39+00:00,Closed,"Sep 17, 2026 4:20 PM"
