symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc
CNERGY,56307837602.75,10.1,10.11,10.59,10.05,10.27,0.17,1.68,50979907.0,Cnergyico PK Limited,REFINERY,2026-07-24T11:00:19+00:00
KEL,197448638851.75,7.06,7.0,7.24,7.0,7.16,0.1,1.42,15695899.0,K-Electric Limited,POWER GENERATION & DISTRIBUTION,2026-07-24T11:00:19+00:00
BOP,106489581333.45,32.98,32.89,33.18,31.65,32.62,-0.36,-1.09,18342932.0,The Bank of Punjab,COMMERCIAL BANKS,2026-07-24T11:00:19+00:00
MLCF,91975996982.4,88.82,87.55,90.74,86.55,88.65,-0.17,-0.19,11277317.0,Maple Leaf Cement Factory Limited,CEMENT,2026-07-24T11:00:19+00:00
LOTCHEMXD,40732173680.0,27.62,28.0,28.0,26.37,26.95,-0.67,-2.43,10023030.0,LOTCHEMXD,Unknown,2026-07-24T11:00:19+00:00
PIBTL,28255987653.04,15.96,15.75,16.25,15.56,15.88,-0.08,-0.5,5959437.0,Pakistan International Bulk Terminal,TRANSPORT,2026-07-24T11:00:19+00:00
SSGC,21846724463.2,25.1,24.9,25.45,24.32,24.81,-0.29,-1.15,7524287.0,Sui Southern Gas Company Limited,OIL & GAS MARKETING COMPANIES,2026-07-24T11:00:19+00:00
TPLRF1,18405050000.0,9.88,9.98,10.14,9.75,10.05,0.17,1.72,2102538.0,TPL REIT Fund I,REAL ESTATE INVESTMENT TRUST,2026-07-24T11:00:19+00:00
PAEL,37814210570.939995,40.99,40.02,41.55,39.5,40.95,-0.04,-0.1,3752595.0,Pak Elektron Limited,CABLE & ELECTRICAL GOODS,2026-07-24T11:00:19+00:00
FCCL,126444274191.0,51.25,50.5,52.6,50.5,51.8,0.55,1.07,3116568.0,Fauji Cement Company Limited,CEMENT,2026-07-24T11:00:19+00:00
PTC,257990640000.0,69.08,68.0,70.5,67.15,68.4,-0.68,-0.98,2032146.0,Pakistan Telecommunication Company Ltd,TECHNOLOGY & COMMUNICATION,2026-07-24T11:00:19+00:00
PSX,39472722550.0,49.02,49.0,50.0,48.4,49.5,0.48,0.98,1618170.0,Pakistan Stock Exchange Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-07-24T11:00:19+00:00
DGKC,85306169376.87001,196.67,194.0,198.89,191.1,196.22,-0.45,-0.23,5360156.0,D.G. Khan Cement Company Limited,CEMENT,2026-07-24T11:00:19+00:00
NBP,410567432108.75995,197.49,196.0,197.5,190.9,193.3,-4.19,-2.12,3462721.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-07-24T11:00:19+00:00
AKBL,144987892668.28,100.99,100.97,102.48,97.56,100.79,-0.2,-0.2,3394200.0,Askari Bank Limited,COMMERCIAL BANKS,2026-07-24T11:00:19+00:00
PPL,573525539767.4401,212.66,212.0,214.2,209.26,211.5,-1.16,-0.54,2626212.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION COMPANIES,2026-07-24T11:00:19+00:00
FFL,41251796585.43,16.18,16.0,16.8,15.75,16.35,0.17,1.05,2202076.0,Fauji Foods Limited,FOOD & PERSONAL CARE PRODUCTS,2026-07-24T11:00:19+00:00
OGDC,1333373822568.0,311.95,311.95,314.0,309.5,310.65,-1.3,-0.42,2144662.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION COMPANIES,2026-07-24T11:00:19+00:00
SNGP,62146891003.35,99.36,98.0,100.87,96.5,98.5,-0.86,-0.87,1604747.0,Sui Northern Gas Pipelines Limited,OIL & GAS MARKETING COMPANIES,2026-07-24T11:00:19+00:00
HUBC,277578070056.0,214.18,214.1,215.49,211.98,214.25,0.07,0.03,2103082.0,The Hub Power Company Limited,POWER GENERATION & DISTRIBUTION,2026-07-24T11:00:19+00:00
TRG,32052609382.050003,56.89,58.4,60.6,56.05,58.92,2.03,3.57,5730975.0,TRG Pakistan Limited,TECHNOLOGY & COMMUNICATION,2026-07-24T11:00:19+00:00
BAFL,175065328209.0,56.2,56.4,56.4,54.91,55.7,-0.5,-0.89,2001614.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-07-24T11:00:19+00:00
SEARL,52116167074.0,88.65,88.0,89.5,87.26,88.99,0.34,0.38,1022789.0,The Searle Company Limited,PHARMACEUTICALS,2026-07-24T11:00:19+00:00
ENGROH,322421074073.56,267.43,265.83,272.9,264.51,269.49,2.06,0.77,2186580.0,Engro Holdings Limited,INV. BANKS / INV. COS. / SECURITIES COS.,2026-07-24T11:00:19+00:00
AHCL,62748475953.600006,14.74,14.69,15.15,14.44,14.89,0.15,1.02,1565416.0,Arif Habib Corporation Limited,FERTILIZER,2026-07-24T11:00:19+00:00
UBL,1115391947850.0,452.12,449.88,454.8,443.0,446.0,-6.12,-1.35,1579761.0,United Bank Limited,COMMERCIAL BANKS,2026-07-24T11:00:19+00:00
YOUW,965173999.9999999,5.6,5.55,5.87,5.35,5.62,0.02,0.36,4048050.0,Yousaf Weaving Mills Limited,TEXTILE WEAVING,2026-07-24T11:00:19+00:00
POWER,25810473420.0,20.08,20.1,20.48,19.69,20.0,-0.08,-0.4,1048617.0,Power Cement Limited,CEMENT,2026-07-24T11:00:19+00:00
PSO,157860397125.0,337.54,336.0,340.2,332.21,336.74,-0.8,-0.24,1031990.0,Pakistan State Oil Company Limited,OIL & GAS MARKETING COMPANIES,2026-07-24T11:00:19+00:00
NML,48911054855.28001,140.29,139.5,141.97,138.1,139.25,-1.04,-0.74,1304433.0,Nishat Mills Limited,TEXTILE COMPOSITE,2026-07-24T11:00:19+00:00
HBL,427308804105.48,295.49,294.7,295.97,290.0,292.43,-3.06,-1.04,828073.0,Habib Bank Limited,COMMERCIAL BANKS,2026-07-24T11:00:19+00:00
NPL,22838708250.0,64.88,64.01,66.3,63.12,64.7,-0.18,-0.28,1113177.0,Nishat Power Limited,POWER GENERATION & DISTRIBUTION,2026-07-24T11:00:19+00:00
LUCK,634345000000.0,434.29,431.0,443.0,427.96,435.0,0.71,0.16,1821904.0,Lucky Cement Limited,CEMENT,2026-07-24T11:00:19+00:00
ILP,137521715905.48,97.91,97.91,99.5,96.36,98.45,0.54,0.55,334098.0,Interloop Limited,TEXTILE COMPOSITE,2026-07-24T11:00:19+00:00
JVDC,53644193959.95,140.96,141.0,143.65,138.5,140.95,-0.01,-0.01,439209.0,Javedan Corporation Limited,PROPERTY,2026-07-24T11:00:19+00:00
HUMNL,11782260000.0,10.36,10.3,10.49,10.23,10.41,0.05,0.48,193978.0,Hum Network Limited,TECHNOLOGY & COMMUNICATION,2026-07-24T11:00:19+00:00
MEBL,972263500986.9601,538.5,535.79,544.0,531.0,540.0,1.5,0.28,603547.0,Meezan Bank Limited,COMMERCIAL BANKS,2026-07-24T11:00:19+00:00
SYS,195815449411.5,134.47,133.25,134.5,131.47,133.25,-1.22,-0.91,719758.0,Systems Limited,TECHNOLOGY & COMMUNICATION,2026-07-24T11:00:19+00:00
AIRLINK,52966076954.0,135.43,135.43,137.97,133.1,134.25,-1.18,-0.87,1586930.0,Air Link Communication Limited,TECHNOLOGY & COMMUNICATION,2026-07-24T11:00:19+00:00
FATIMA,316470000000.0,150.87,151.0,152.8,147.0,150.8,-0.07,-0.05,282341.0,Fatima Fertilizer Company Limited,FERTILIZER,2026-07-24T11:00:19+00:00
FABL,149660054428.86,98.98,98.0,100.1,96.62,98.9,-0.08,-0.08,676755.0,Faysal Bank Limited,COMMERCIAL BANKS,2026-07-24T11:00:19+00:00
FFC,769157933539.0,535.13,534.89,539.65,529.0,534.9,-0.23,-0.04,528771.0,Fauji Fertilizer Company Limited,FERTILIZER,2026-07-24T11:00:19+00:00
CPHL,16572575448.000002,72.97,72.97,73.0,71.05,72.55,-0.42,-0.58,182037.0,Citi Pharma Ltd.,PHARMACEUTICALS,2026-07-24T11:00:19+00:00
GAL,31978402500.0,563.16,558.0,571.0,546.0,562.99,-0.17,-0.03,529805.0,Ghandhara Automobiles Limited,AUTOMOBILE ASSEMBLER,2026-07-24T11:00:19+00:00
EFERT,250355279818.75,187.49,187.01,189.0,185.55,187.49,0.0,0.0,469293.0,Engro Fertilizers Limited,FERTILIZER,2026-07-24T11:00:19+00:00
KAPCO,24145346044.04,27.56,27.56,27.84,27.36,27.45,-0.11,-0.4,453704.0,Kot Addu Power Company Limited,POWER GENERATION & DISTRIBUTION,2026-07-24T11:00:19+00:00
MARI,758793420000.0,636.99,634.4,642.0,631.0,633.9,-3.09,-0.48,267378.0,Mari Energies Limited,OIL & GAS EXPLORATION COMPANIES,2026-07-24T11:00:19+00:00
KOHC,82572108482.7,90.43,90.4,90.99,88.0,90.2,-0.23,-0.25,249485.0,Kohat Cement Company Limited,CEMENT,2026-07-24T11:00:19+00:00
HCAR,32556972000.0,230.26,229.0,234.0,222.5,229.0,-1.26,-0.55,462856.0,Honda Atlas Cars (Pakistan) Limited,AUTOMOBILE ASSEMBLER,2026-07-24T11:00:19+00:00
