symbol,market_cap,ldcp,open,high,low,close,change,percent_change,volume,company,sector,downloaded_at_utc
CNERGY,75150362771.28,13.11,13.11,14.04,12.61,13.68,0.57,4.35,247072281.0,Cnergyico PK Limited,REFINERY,2026-08-13T11:00:14+00:00
BOP,113130867051.01999,34.4,34.7,35.1,34.47,34.58,0.18,0.52,16204913.0,The Bank of Punjab,COMMERCIAL BANKS,2026-08-13T11:00:14+00:00
KEL,203247829643.2,7.43,7.43,7.49,7.3,7.36,-0.07,-0.94,10204051.0,K-Electric Limited,POWER GENERATION,2026-08-13T11:00:14+00:00
MLCF,106778056633.44,102.75,103.06,103.45,101.7,101.93,-0.82,-0.8,8524664.0,Maple Leaf Cement Factory Limited,CEMENT,2026-08-13T11:00:14+00:00
TPLRF1,18405050000.0,10.01,10.08,10.35,9.96,10.03,0.02,0.2,6360797.0,TPL REIT Fund I,REIT,2026-08-13T11:00:14+00:00
PIBTL,29863471147.839996,16.63,16.68,16.8,16.54,16.72,0.09,0.54,5671079.0,Pakistan International Bulk Terminal,TRANSPORT,2026-08-13T11:00:14+00:00
LOTCHEM,41655840072.0,27.67,27.7,27.95,27.41,27.51,-0.16,-0.58,4109443.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-08-13T11:00:14+00:00
SSGC,23872831973.9,27.41,27.5,27.79,27.01,27.1,-0.31,-1.13,8751267.0,Sui Southern Gas Company Limited,OIL & GAS MKTNG,2026-08-13T11:00:14+00:00
PAEL,39587617612.86,43.1,43.39,43.4,42.7,42.86,-0.24,-0.56,2998616.0,Pak Elektron Limited,CABLE & ELECTRICAL,2026-08-13T11:00:14+00:00
FCCL,141161357511.0,58.06,58.15,58.44,57.4,57.55,-0.51,-0.88,4181588.0,Fauji Cement Company Limited,CEMENT,2026-08-13T11:00:14+00:00
PSX,42317964480.0,53.48,53.65,54.27,52.6,52.8,-0.68,-1.27,4965732.0,Pakistan Stock Exchange Limited,INV. BANKS / SECURITIES,2026-08-13T11:00:14+00:00
DGKC,94550482323.57,213.66,214.5,218.0,213.3,215.81,2.15,1.01,4224634.0,D.G. Khan Cement Company Limited,CEMENT,2026-08-13T11:00:14+00:00
PTC,268633320000.00003,71.0,71.0,71.51,70.53,71.18,0.18,0.25,1484834.0,Pakistan Telecommunication Company Ltd,TECH & COMMUNICATION,2026-08-13T11:00:14+00:00
BAFL,182067941337.36,58.16,58.39,58.4,57.5,57.72,-0.44,-0.76,1099056.0,Bank Alfalah Limited,COMMERCIAL BANKS,2026-08-13T11:00:14+00:00
AKBL,151582204060.13,105.89,105.93,106.89,104.31,104.59,-1.3,-1.23,2414371.0,Askari Bank Limited,COMMERCIAL BANKS,2026-08-13T11:00:14+00:00
HUBC,276242001024.0,213.36,214.0,214.94,212.4,212.96,-0.4,-0.19,2100925.0,The Hub Power Company Limited,POWER GENERATION,2026-08-13T11:00:14+00:00
PPL,627509535919.76,229.45,230.0,234.22,228.03,230.62,1.17,0.51,6914770.0,Pakistan Petroleum Limited,OIL & GAS EXPLORATION,2026-08-13T11:00:14+00:00
OGDC,1369759676832.0,318.92,319.95,321.5,318.0,318.48,-0.44,-0.14,2172684.0,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION,2026-08-13T11:00:14+00:00
NBP,432502089715.98,205.06,204.72,206.9,201.98,203.29,-1.77,-0.86,1305823.0,National Bank of Pakistan,COMMERCIAL BANKS,2026-08-13T11:00:14+00:00
TRG,32772525059.850002,60.29,60.69,60.99,59.73,60.09,-0.2,-0.33,976857.0,TRG Pakistan Limited,TECH & COMMUNICATION,2026-08-13T11:00:14+00:00
FFL,41579391793.5,16.23,16.31,16.55,16.24,16.5,0.27,1.66,3838070.0,Fauji Foods Limited,FOOD & PERSONAL CARE,2026-08-13T11:00:14+00:00
HBL,490383461949.48,332.16,330.0,336.5,330.0,334.31,2.15,0.65,1680617.0,Habib Bank Limited,COMMERCIAL BANKS,2026-08-13T11:00:14+00:00
SEARL,53051434632.1,90.62,91.0,91.5,90.0,90.19,-0.43,-0.47,914336.0,The Searle Company Limited,PHARMA,2026-08-13T11:00:14+00:00
PSO,164625507378.0,349.74,350.5,354.1,348.0,350.66,0.92,0.26,3588665.0,Pakistan State Oil Company Limited,OIL & GAS MKTNG,2026-08-13T11:00:14+00:00
AHCL,68061854965.8,16.21,16.21,16.36,16.08,16.14,-0.07,-0.43,3650158.0,Arif Habib Corporation Limited,FERTILIZER,2026-08-13T11:00:14+00:00
SNGP,64835969662.950005,104.58,105.48,105.51,101.9,102.23,-2.35,-2.25,2580909.0,Sui Northern Gas Pipelines Limited,OIL & GAS MKTNG,2026-08-13T11:00:14+00:00
NPL,24715377300.0,68.56,68.6,72.3,68.6,69.8,1.24,1.81,6060838.0,Nishat Power Limited,POWER GENERATION,2026-08-13T11:00:14+00:00
NML,52634497245.6,149.21,150.1,154.68,148.81,149.7,0.49,0.33,3420862.0,Nishat Mills Limited,TEXTILE COMPOSITE,2026-08-13T11:00:14+00:00
UBL,1175068171732.5,468.7,470.21,470.99,467.0,469.23,0.53,0.11,291971.0,United Bank Limited,COMMERCIAL BANKS,2026-08-13T11:00:14+00:00
YOUW,923809400.0,5.48,5.43,5.56,5.33,5.36,-0.12,-2.19,831096.0,Yousaf Weaving Mills Limited,TEXTILE WEAVING,2026-08-13T11:00:14+00:00
LUCK,654283650000.0,446.47,447.88,450.0,445.0,446.61,0.14,0.03,696125.0,Lucky Cement Limited,CEMENT,2026-08-13T11:00:14+00:00
ENGROH,330188370434.86,276.8,278.0,279.99,273.0,274.19,-2.61,-0.94,1083495.0,Engro Holdings Limited,INV. BANKS / SECURITIES,2026-08-13T11:00:14+00:00
POWER,29230361148.149998,22.75,22.75,22.94,22.6,22.65,-0.1,-0.44,633191.0,Power Cement Limited,CEMENT,2026-08-13T11:00:14+00:00
SYS,194224172621.69998,133.95,134.5,134.5,131.01,131.82,-2.13,-1.59,1042658.0,Systems Limited,TECH & COMMUNICATION,2026-08-13T11:00:14+00:00
FFC,801766200655.9199,553.74,555.99,562.88,554.0,557.16,3.42,0.62,1242968.0,Fauji Fertilizer Company Limited,FERTILIZER,2026-08-13T11:00:14+00:00
MEBL,1062392001779.2,591.13,592.0,594.95,586.15,587.9,-3.23,-0.55,682451.0,Meezan Bank Limited,COMMERCIAL BANKS,2026-08-13T11:00:14+00:00
GAL,36836725575.0,648.34,655.1,662.49,643.0,646.23,-2.11,-0.32,958618.0,Ghandhara Automobiles Limited,AUTO ASSEMBLER,2026-08-13T11:00:14+00:00
FABL,150661734136.02,99.56,100.8,100.8,99.0,99.27,-0.29,-0.29,436634.0,Faysal Bank Limited,COMMERCIAL BANKS,2026-08-13T11:00:14+00:00
KAPCO,24849548626.44,28.23,28.24,28.35,28.02,28.23,0.0,0.0,493881.0,Kot Addu Power Company Limited,POWER GENERATION,2026-08-13T11:00:14+00:00
HUMNL,11918340000.0,10.58,10.56,10.7,10.41,10.51,-0.07,-0.66,397595.0,Hum Network Limited,TECH & COMMUNICATION,2026-08-13T11:00:14+00:00
MARI,814238167050.0,680.05,684.22,687.99,676.0,678.18,-1.87,-0.27,1014972.0,Mari Energies Limited,OIL & GAS EXPLORATION,2026-08-13T11:00:14+00:00
JVDC,56199767559.32,149.81,150.0,150.0,146.11,147.56,-2.25,-1.5,384447.0,Javedan Corporation Limited,PROPERTY,2026-08-13T11:00:14+00:00
AICL,30908500000.0,89.8,90.87,92.0,87.25,88.31,-1.49,-1.66,479317.0,Adamjee Insurance Company Limited,INSURANCE,2026-08-13T11:00:14+00:00
EFERT,247003678387.5,185.87,186.5,187.0,184.5,184.98,-0.89,-0.48,1400308.0,Engro Fertilizers Limited,FERTILIZER,2026-08-13T11:00:14+00:00
AIRLINK,53634081954.39,136.09,136.49,136.6,135.25,135.69,-0.4,-0.29,273659.0,Air Link Communication Limited,TECH & COMMUNICATION,2026-08-13T11:00:14+00:00
CPHL,16645683032.0,72.95,73.9,73.9,72.74,72.86,-0.09,-0.12,1050845.0,Citi Pharma Ltd.,PHARMA,2026-08-13T11:00:14+00:00
FATIMA,346878000000.0,164.61,165.0,166.2,163.9,165.18,0.57,0.35,745903.0,Fatima Fertilizer Company Limited,FERTILIZER,2026-08-13T11:00:14+00:00
HCAR,34179180000.0,240.61,242.95,242.95,238.82,239.35,-1.26,-0.52,229832.0,Honda Atlas Cars (Pakistan) Limited,AUTO ASSEMBLER,2026-08-13T11:00:14+00:00
ILP,144348041014.64,103.12,104.0,104.4,102.8,102.98,-0.14,-0.14,190216.0,Interloop Limited,TEXTILE COMPOSITE,2026-08-13T11:00:14+00:00
ATRL,110621822512.5,1027.03,1027.1,1058.0,1008.01,1037.57,10.54,1.03,1317006.0,Attock Refinery Limited,REFINERY,2026-08-13T11:00:14+00:00
KTML,56862580134.399994,42.69,42.85,43.2,42.0,42.23,-0.46,-1.08,303037.0,Kohinoor Textile Mills Limited,TEXTILE COMPOSITE,2026-08-13T11:00:14+00:00
BAHL,194743961917.18,176.11,177.0,178.97,174.5,175.22,-0.89,-0.5,252276.0,Bank AL Habib Limited,COMMERCIAL BANKS,2026-08-13T11:00:14+00:00
KOHC,92160475121.25,99.79,100.0,102.0,99.5,100.25,0.46,0.46,207780.0,Kohat Cement Company Limited,CEMENT,2026-08-13T11:00:14+00:00
DCR,86657589000.0,39.18,39.18,39.18,38.8,38.97,-0.21,-0.54,198144.0,Dolmen City REIT,REIT,2026-08-13T11:00:14+00:00
GHGL,41298219957.78,41.47,41.45,41.99,41.2,41.31,-0.16,-0.39,130586.0,Ghani Glass Limited,GLASS & CERAMICS,2026-08-13T11:00:14+00:00
ISL,38902050000.0,87.2,87.4,90.0,87.4,89.43,2.23,2.56,420942.0,International Steels Limited,ENGINEERING,2026-08-13T11:00:14+00:00
PIOC,62354615166.43,273.0,276.0,278.0,274.0,274.51,1.51,0.55,148032.0,Pioneer Cement Limited,CEMENT,2026-08-13T11:00:14+00:00
MCB,498341433723.12,419.85,420.01,423.3,419.0,420.52,0.67,0.16,338511.0,MCB Bank Limited,COMMERCIAL BANKS,2026-08-13T11:00:14+00:00
GHNI,55611784923.48,1282.25,1310.0,1324.89,1300.0,1305.17,22.92,1.79,219792.0,Ghandhara Industries Limited,AUTO ASSEMBLER,2026-08-13T11:00:14+00:00
HMB,118928872980.0,116.04,116.84,116.84,113.3,113.5,-2.54,-2.19,486099.0,Habib Metropolitan Bank Limited,COMMERCIAL BANKS,2026-08-13T11:00:14+00:00
AGP,52754800000.0,188.78,189.34,189.99,188.01,188.41,-0.37,-0.2,104196.0,AGP Limited,PHARMA,2026-08-13T11:00:14+00:00
MTL,121142092699.45999,304.5,307.0,307.0,301.0,303.59,-0.91,-0.3,122173.0,Millat Tractors Limited,AUTO ASSEMBLER,2026-08-13T11:00:14+00:00
CHCC,64080446482.78,330.04,330.98,335.0,329.0,329.81,-0.23,-0.07,38052.0,Cherat Cement Company Limited,CEMENT,2026-08-13T11:00:14+00:00
GLAXO,109775670726.59999,345.43,344.0,348.6,344.0,344.7,-0.73,-0.21,72717.0,GlaxoSmithKline Pakistan Limited,PHARMA,2026-08-13T11:00:14+00:00
POL,203336765199.36002,724.4,730.0,730.0,710.01,716.34,-8.06,-1.11,344685.0,Pakistan Oilfields Limited,OIL & GAS EXPLORATION,2026-08-13T11:00:14+00:00
MEHT,4443000000.0,147.01,148.95,150.5,146.5,148.1,1.09,0.74,263839.0,Mehmood Textile Mills Limited,TEXTILE COMPOSITE,2026-08-13T11:00:14+00:00
INIL,22003169522.4,165.04,165.04,168.49,165.04,166.84,1.8,1.09,73636.0,International Industries Limited,ENGINEERING,2026-08-13T11:00:14+00:00
NATF,91628280165.0,396.15,396.2,397.8,390.06,393.06,-3.09,-0.78,76919.0,National Foods Limited,FOOD & PERSONAL CARE,2026-08-13T11:00:14+00:00
SAZEW,112616869939.09999,1881.59,1881.98,1892.0,1856.26,1863.1,-18.49,-0.98,76279.0,Sazgar Engineering Works Limited,AUTO ASSEMBLER,2026-08-13T11:00:14+00:00
TGL,33111193596.16,191.15,192.9,195.0,190.0,192.32,1.17,0.61,151077.0,Tariq Glass Industries Limited,GLASS & CERAMICS,2026-08-13T11:00:14+00:00
LCI,104047087777.5,225.38,226.0,226.9,224.01,225.31,-0.07,-0.03,60722.0,Lucky Core Industries Limited,CHEMICAL,2026-08-13T11:00:14+00:00
ABL,204006353552.8,178.3,178.99,180.0,177.5,178.16,-0.14,-0.08,54923.0,Allied Bank Limited,COMMERCIAL BANKS,2026-08-13T11:00:14+00:00
HGFA,4082400000.0,14.26,15.45,15.45,14.06,14.4,0.14,0.98,116316.0,HBL Growth Fund,CLOSED-END MUTUAL FUND,2026-08-13T11:00:14+00:00
GADT,9456901008.369999,337.63,337.63,341.11,336.0,337.39,-0.24,-0.07,11018.0,Gadoon Textile Mills Limited,TEXTILE SPINNING,2026-08-13T11:00:14+00:00
PGLC,726235894.8,14.97,15.14,15.14,14.45,14.68,-0.29,-1.94,2420.0,Pak-Gulf Leasing Company Limited,LEASING,2026-08-13T11:00:14+00:00
APL,68607959040.00001,552.53,553.9,555.75,551.0,551.44,-1.09,-0.2,22365.0,Attock Petroleum Limited,OIL & GAS MKTNG,2026-08-13T11:00:14+00:00
HALEON,87593058881.48,749.41,746.0,753.0,746.0,748.31,-1.1,-0.15,7582.0,Haleon Pakistan Limited,PHARMA,2026-08-13T11:00:14+00:00
PABC,38996080349.46,108.78,110.0,110.0,106.5,107.99,-0.79,-0.73,30153.0,Pakistan Aluminium Beverage Cans Limited,MISC.,2026-08-13T11:00:14+00:00
SCBPL,256918381993.56,66.59,66.0,69.0,66.0,66.36,-0.23,-0.34,17281.0,Standard Chartered Bank (Pak) Ltd,COMMERCIAL BANKS,2026-08-13T11:00:14+00:00
INDU,154010412000.0,1940.14,1941.0,1975.0,1930.21,1959.42,19.28,0.99,616975.0,Indus Motor Company Limited,AUTO ASSEMBLER,2026-08-13T11:00:14+00:00
SHFA,31722241677.06,512.44,512.44,519.9,487.0,501.82,-10.62,-2.07,384204.0,Shifa International Hospitals Limited,MISC.,2026-08-13T11:00:14+00:00
ABOT,90482396117.46,920.91,924.89,929.9,916.0,924.23,3.32,0.36,23677.0,Abbott Laboratories (Pakistan) Limited,PHARMA,2026-08-13T11:00:14+00:00
HINOON,53170929122.72,994.96,996.0,1010.0,996.0,1003.54,8.58,0.86,5359.0,Highnoon Laboratories Limited,PHARMA,2026-08-13T11:00:14+00:00
BWCL,299247346732.04,501.53,501.64,504.0,501.01,501.88,0.35,0.07,6535.0,Bestway Cement Limited,CEMENT,2026-08-13T11:00:14+00:00
